"Name","Sector","Tagged by"
"homeland security","Critical Infrastructure, Critical Infrastructure","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"HPM","Defense","Electromagnetic Compatibility (EMC)"
"HSE","Energy","Computer (C)"
"human centered","Healthcare","Technical Activities Board (TAB)"
"human factors","Defense, Computing & IT","Reliability (R)"
"Human Resources","Defense, Manufacturing & Devices","Technical Activities Board (TAB)"
"Human-computer Interaction","Computing & IT","Technical Activities Board (TAB)"
"human-machine interaction","Manufacturing & Devices, Transportation, Healthcare, Critical Infrastructure, Energy","Technical Activities Board (TAB), Reliability (R)"
"human-machine interface","Manufacturing & Devices, Transportation, Healthcare, Energy, Communications, Education, Manufacturing & Devices","Technical Activities Board (TAB), Reliability (R)"
"human-robot interaction","Healthcare","Technical Activities Board (TAB)"
"hybrid","Transportation","Power Electronics (PEL)"
"hybrid vehicles","Environment","Power Electronics (PEL)"
"hydro","Energy","Technical Activities Board (TAB)"
"hydrodynamic","Energy","Technical Activities Board (TAB)"
"hydrogen storage","Energy","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Image","Entertainment","Technical Activities Board (TAB)"
"image processing","Computing & IT, Entertainment","Technical Activities Board (TAB)"
"Immersive Games","Entertainment","Technical Activities Board (TAB)"
"immunity","Transportation, Entertainment","Electromagnetic Compatibility (EMC)"
"implantable devices","Healthcare","Technical Activities Board (TAB)"
"imprinting cables","Manufacturing & Devices","Technical Activities Board (TAB)"
"IMS","Communications","Communications (COMM)"
"inclusion","Healthcare","Technical Activities Board (TAB)"
"indoor home network","Communications","Technical Activities Board (TAB)"
"induction","Energy","Technical Activities Board (TAB)"
"industrial","Energy","Technical Activities Board (TAB)"
"informatics","Healthcare","Technical Activities Board (TAB)"
"Information Assurance","Computing & IT","Computer (C)"
"Information Forensics","Critical Infrastructure, Defense","Technical Activities Board (TAB)"
"Information Retrieval","Computing & IT","Technical Activities Board (TAB)"
"information security","Energy, Critical Infrastructure, Communications, Computing & IT, Defense","Computer (C), Technical Activities Board (TAB)"
"information theory","Computing & IT","Computer (C)"
"infrared imaging","Defense","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"infrastructure","Energy, Defense, Transportation","Technical Activities Board (TAB), Power Electronics (PEL)"
"ink-jet printing","Manufacturing & Devices","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Innovation","Education, Transportation, Financial Services, Energy, Healthcare, Agriculture, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Defense, Environment, Retail, Computing & IT","Engineering Management (EM)"
"installation","Energy","Technical Activities Board (TAB)"
"instrumentation and test","Healthcare","Technical Activities Board (TAB)"
"insulation","Energy","Technical Activities Board (TAB)"
"Integrated Circuits","Agriculture, Manufacturing & Devices, Computing & IT, Entertainment","Council on Electronic Design Automation (CEDA), Technical Activities Board (TAB), Electron Devices (ED)"
"integrated passive components","Manufacturing & Devices","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"integrated systems","Defense, Entertainment","Electron Devices (ED)"
"Integrated Weapons & Communications","Defense","Technical Activities Board (TAB)"
"Integration","Critical Infrastructure","Engineering Management (EM)"
"integrity","Defense, Computing & IT, Healthcare","Reliability (R)"
"Intelligent Agents","Computing & IT","Computer (C)"
"intelligent infrastructure","Energy","Technical Activities Board (TAB)"
"Intelligent systems","Computing & IT, Healthcare, Communications, Education, Defense, Education","Technical Activities Board (TAB), Electron Devices (ED)"
"Intentional EMI","Defense","Technical Activities Board (TAB)"
"interconnect devices","Computing & IT","Electron Devices (ED)"
"interleving","Computing & IT","Electromagnetic Compatibility (EMC)"
"Internet computing","Computing & IT","Technical Activities Board (TAB)"
"Internet Radio","Entertainment","Technical Activities Board (TAB)"
"Internet Video","Entertainment","Technical Activities Board (TAB)"
"interoperability","Communications","Communications (COMM)"
"Intra-System Compatibility","Defense, Communications","Electromagnetic Compatibility (EMC)"
"inventory control","Retail","Technical Activities Board (TAB)"
"inverters","Energy","Power Electronics (PEL)"
"ITS","Transportation","Technical Activities Board (TAB)"
"Knowledge Management","Computing & IT","Computer (C)"
"Ladar","Defense, Transportation","Lasers & Electro-Optics (LEOS), Technical Activities Board (TAB)"
"Large scale problems","Computing & IT","Technical Activities Board (TAB)"
"large scale systems","Manufacturing & Devices","Technical Activities Board (TAB)"
"Laser Radar","Defense","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"Laser TV","Entertainment","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"laser welding","Manufacturing & Devices, Manufacturing & Devices","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"Lasers","Defense, Manufacturing & Devices, Transportation, Healthcare, Manufacturing & Devices","Lasers & Electro-Optics (LEOS), Technical Activities Board (TAB)"
"LCD displays","Entertainment","Lasers & Electro-Optics (LEOS)"
"lead-acid","Energy","Technical Activities Board (TAB)"
"lead-free piezoelectrics","Environment","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Learning Technology","Computing & IT","Computer (C)"
"LED lighting","Retail","Power Electronics (PEL)"
"LEDs","Transportation","Lasers & Electro-Optics (LEOS)"
"LEMP","Defense","Electromagnetic Compatibility (EMC)"
"liability","Manufacturing & Devices","Technical Activities Board (TAB)"
"Lidar","Defense, Transportation","Lasers & Electro-Optics (LEOS)"
"Life cycle","Manufacturing & Devices","Technical Activities Board (TAB)"
"Life Long Learning","Education","Technical Activities Board (TAB)"
"lightning","Defense, Energy","Electromagnetic Compatibility (EMC)"
"Lightweight Aircraft","Defense","Technical Activities Board (TAB)"
"limited life items","Transportation, Defense","Reliability (R)"
"line","Energy","Technical Activities Board (TAB)"
"linear","Energy","Technical Activities Board (TAB)"
"Local Area Networks","Computing & IT","Computer (C)"
"location based service","Communications","Communications (COMM)"
"Logic synthesis","Defense, Retail, Environment, Computing & IT, Education, Financial Services, Transportation, Healthcare, Critical Infrastructure, Manufacturing & Devices, Entertainment, Computing & IT","Council on Electronic Design Automation (CEDA), Control Systems (CS), Technical Activities Board (TAB)"
"logistics","Energy, Retail, Transportation","Technical Activities Board (TAB)"
"longer lifetime implants","Healthcare","Technical Activities Board (TAB)"
"low cost","Manufacturing & Devices","Technical Activities Board (TAB)"
"low cost diagnostics","Healthcare","Technical Activities Board (TAB)"
"low power devices","Defense","Electron Devices (ED)"
"LTE","Communications","Communications (COMM)"
"machine intelligence","Computing & IT","Computer (C)"
"Machine Learning","Computing & IT","Technical Activities Board (TAB)"
"Machine Translation","Computing & IT","Technical Activities Board (TAB)"
"machines","Energy","Technical Activities Board (TAB)"
"magnetics","Energy, Manufacturing & Devices","Technical Activities Board (TAB), Power Electronics (PEL)"
"Maintainability","Agriculture, Energy","Reliability (R)"
"maintainability","Manufacturing & Devices, Transportation, Defense, Communications, Education","Reliability (R)"
"maintenance","Energy, Manufacturing & Devices, Agriculture, Transportation, Manufacturing & Devices","Engineering Management (EM), Technical Activities Board (TAB), Reliability (R)"
"maintenance manhours per usage time","Defense","Reliability (R)"
"management","Energy","Technical Activities Board (TAB)"
"Management Capability","Manufacturing & Devices","Technical Activities Board (TAB)"
"management functions","Manufacturing & Devices","Technical Activities Board (TAB)"
"management recovery","Communications","Technical Activities Board (TAB)"
"Management Training","Education","Technical Activities Board (TAB)"
"Managing Competencies","Education, Transportation, Financial Services, Energy, Healthcare, Agriculture, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Defense, Environment, Retail, Computing & IT","Engineering Management (EM)"
"manufacturing","Energy","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"manufacturing standards","Manufacturing & Devices","Technical Activities Board (TAB)"
"Marine Electronics","Defense","Technical Activities Board (TAB)"
"market","Energy, Financial Services","Technical Activities Board (TAB)"
"materials","Energy","Technical Activities Board (TAB)"
"measuring performance","Manufacturing & Devices","Technical Activities Board (TAB)"
"mechanical stress analysis","Transportation","Reliability (R)"
"Medical data processing","Computing & IT","Technical Activities Board (TAB)"
"medical devices","Healthcare","Technical Activities Board (TAB)"
"medical microwaves","Healthcare","Technical Activities Board (TAB)"
"memory","Computing & IT","Electron Devices (ED)"
"mems","Energy, Healthcare","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Mentoring","Education","Technical Activities Board (TAB)"
"Meta search","Computing & IT","Technical Activities Board (TAB)"
"metering","Energy","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"methods","Energy","Technical Activities Board (TAB)"
"microfluidics","Healthcare","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"micromachines","Healthcare, Healthcare","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Microprocessor","Computing & IT","Computer (C)"
"Military Computing","Defense","Technical Activities Board (TAB)"
"Military Vehicles","Defense","Technical Activities Board (TAB)"
"MIMO","Communications","Technical Activities Board (TAB)"
"mining","Energy","Technical Activities Board (TAB)"
"mission critical","Defense, Critical Infrastructure","Electromagnetic Compatibility (EMC)"
"Mission Planning","Defense","Technical Activities Board (TAB)"
"mobile communication","Education","Communications (COMM)"
"Mobile Computing","Computing & IT","Technical Activities Board (TAB)"
"mobile sensor networks","Communications","Communications (COMM)"
"Mobile Television","Entertainment, Communications","Broadcast Technology (BT)"
"modeling","Energy, Environment, Communications","Technical Activities Board (TAB), Communications (COMM)"
"model-based reasoning","Defense","Reliability (R)"
"molecular engines","Healthcare","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"monitoring","Financial Services, Manufacturing & Devices, Agriculture, Defense, Environment, Healthcare, Computing & IT, Healthcare, Entertainment","Reliability (R), Technical Activities Board (TAB)"
"Mortgage","Financial Services","Technical Activities Board (TAB)"
"Motes","Communications","Communications (COMM)"
"motor","Energy","Technical Activities Board (TAB)"
"Moving Targets","Defense","Technical Activities Board (TAB)"
"Multicore systems","Computing & IT","Technical Activities Board (TAB)"
"Multicultural","Education","Technical Activities Board (TAB)"
"Multimedia","Computing & IT, Entertainment","Technical Activities Board (TAB)"
"Music on Demand","Entertainment","Technical Activities Board (TAB)"
"Nano Sensors","Defense","Technical Activities Board (TAB)"
"Nano Technology","Healthcare, Communications, Defense, Communications","Electron Devices (ED), Technical Activities Board (TAB)"
"Nanoelectronics for computing","Computing & IT","Technical Activities Board (TAB)"
"nanofabrication technologies","Manufacturing & Devices","Technical Activities Board (TAB)"
"nanosensors","Environment","Technical Activities Board (TAB)"
"narrowband","Communications","Technical Activities Board (TAB)"
"natural disaster","Environment","Technical Activities Board (TAB)"
"Natural Language Processing","Computing & IT","Technical Activities Board (TAB)"
"Navigation","Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"NEMP","Defense, Energy","Electromagnetic Compatibility (EMC)"
"Network interfaces","Computing & IT","Technical Activities Board (TAB)"
"network management","Communications","Communications (COMM)"
"network neutrality","Communications","Technical Activities Board (TAB)"
"Networking","Computing & IT, Computing & IT","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"Neural Systems","Healthcare","Engineering in Medicine & Biology (EMB)"
"noise analysis","Agriculture, Manufacturing & Devices, Defense, Computing & IT, Critical Infrastructure, Communications","Council on Electronic Design Automation (CEDA)"
"noise cancelling","Communications","Electromagnetic Compatibility (EMC)"
"noise pollution","Environment","Technical Activities Board (TAB)"
"Nonlethal weapons","Defense","Nuclear & Plasma Science (NPS)"
"non-destructive evaluation","Critical Infrastructure","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"nourishment","Critical Infrastructure","Technical Activities Board (TAB)"
"Nuclear","Energy, Defense","Technical Activities Board (TAB)"
"Nuclear Survivability","Defense","Electromagnetic Compatibility (EMC)"
"Objectives","Education, Transportation, Financial Services, Energy, Healthcare, Agriculture, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Defense, Environment, Retail, Computing & IT","Engineering Management (EM)"
"object-oriented design","Computing & IT","Computer (C)"
"object-oriented programming","Computing & IT","Computer (C)"
"Offensive Weaponry","Defense","Technical Activities Board (TAB)"
"one product","Manufacturing & Devices","Technical Activities Board (TAB)"
"on-chip","Energy","Technical Activities Board (TAB)"
"on-condition maintenance","Defense","Reliability (R)"
"On-the-job","Education","Technical Activities Board (TAB)"
"open systems","Communications","Technical Activities Board (TAB)"
"Operating systems","Computing & IT","Technical Activities Board (TAB)"
"operation","Energy","Technical Activities Board (TAB)"
"operational oceanography","Defense","Oceanic Engineering (OE)"
"operator stations","Manufacturing & Devices","Technical Activities Board (TAB)"
"optical","Communications","Technical Activities Board (TAB)"
"optical grid","Computing & IT","Communications (COMM)"
"optical sensors","Energy, Environment","Computer (C), Lasers & Electro-Optics (LEOS)"
"Optical Switching","Communications","Communications (COMM)"
"Optical/Fibre communications","Critical Infrastructure, Critical Infrastructure","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"optimal transport","Energy","Technical Activities Board (TAB)"
"optimized content","Education","Technical Activities Board (TAB)"
"pandemic prevention","Environment","Technical Activities Board (TAB)"
"pandemics","Healthcare","Technical Activities Board (TAB)"
"Parallel systems","Computing & IT, Computing & IT","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"parasites","Healthcare","Technical Activities Board (TAB)"
"pattern analysis","Computing & IT","Computer (C)"
"Pattern reconfiguration","Computing & IT","Technical Activities Board (TAB)"
"performance","Energy","Technical Activities Board (TAB)"
"Personal Health Records","Healthcare","Engineering in Medicine & Biology (EMB)"
"personal networks","Healthcare","Power Electronics (PEL)"
"personal safety","Communications","Technical Activities Board (TAB)"
"Personal Security","Retail","Technical Activities Board (TAB)"
"petrochem","Manufacturing & Devices","Technical Activities Board (TAB)"
"pharmaceuticals","Healthcare","Technical Activities Board (TAB)"
"phase out","Manufacturing & Devices","Technical Activities Board (TAB)"
"photoacoustics","Healthcare","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"photodynadic therapy","Healthcare","Lasers & Electro-Optics (LEOS)"
"photovoltaics","Defense, Energy, Defense, Environment","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS), Electron Devices (ED), Power Electronics (PEL)"
"physics of failure","Defense","Reliability (R)"
"piezoelectric","Energy","Technical Activities Board (TAB)"
"place and route","Agriculture, Manufacturing & Devices, Defense, Computing & IT, Critical Infrastructure","Council on Electronic Design Automation (CEDA)"
"planning","Energy, Retail","Technical Activities Board (TAB)"
"plant engineering","Manufacturing & Devices","Engineering Management (EM)"
"plasma displays","Entertainment","Lasers & Electro-Optics (LEOS)"
"platforms","Communications, Defense","Technical Activities Board (TAB)"
"PLCs","Energy, Manufacturing & Devices","Computer (C), Technical Activities Board (TAB)"
"Podcasting","Entertainment","Technical Activities Board (TAB)"
"point of care diagnostics","Healthcare","Technical Activities Board (TAB)"
"poles","Energy","Technical Activities Board (TAB)"
"policy","Energy","Technical Activities Board (TAB)"
"pollutants","Healthcare","Technical Activities Board (TAB)"
"pollution control","Environment","Technical Activities Board (TAB)"
"pollution mitigation","Environment","Technical Activities Board (TAB)"
"Portable Applications","Computing & IT","Computer (C)"
"portable devices","Defense","Electron Devices (ED)"
"portable power","Healthcare","Power Electronics (PEL)"
"positioning for instrumentation","Manufacturing & Devices","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Post-Secondary","Education","Technical Activities Board (TAB)"
"power generation","Environment","Technical Activities Board (TAB)"
"power grid fragility","Environment","Technical Activities Board (TAB)"
"power quality","Defense, Energy","Electromagnetic Compatibility (EMC)"
"power saving","Communications, Communications","Technical Activities Board (TAB), Power Electronics (PEL)"
"power semiconductors","Manufacturing & Devices","Power Electronics (PEL)"
"power transmission","Environment","Technical Activities Board (TAB)"
"powerline","Communications","Technical Activities Board (TAB)"
"Power-aware computing","Defense, Retail, Environment, Computing & IT, Education, Financial Services, Transportation, Agriculture, Energy, Healthcare, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Computing & IT","Control Systems (CS), Technical Activities Board (TAB), Council on Electronic Design Automation (CEDA)"
"power-aware design","Agriculture, Manufacturing & Devices, Defense, Energy, Computing & IT, Critical Infrastructure, Environment, Healthcare, Communications","Council on Electronic Design Automation (CEDA)"
"Precision time transfer to challenged platforms","Communications","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Presentation","Education","Technical Activities Board (TAB)"
"Pre-university","Education","Technical Activities Board (TAB)"
"pricing","Energy","Technical Activities Board (TAB)"
"Private","Healthcare","Technical Activities Board (TAB)"
"process","Manufacturing & Devices","Engineering Management (EM)"
"Process automation systems","Manufacturing & Devices","Technical Activities Board (TAB)"
"process failure modes and effects analysis","Manufacturing & Devices","Reliability (R)"
"Process Integration","Education, Transportation, Financial Services, Energy, Healthcare, Agriculture, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Defense, Environment, Retail, Computing & IT","Engineering Management (EM)"
"product and functional safety","Energy, Communications, Retail, Entertainment","Computer (C), Electromagnetic Compatibility (EMC), Reliability (R), Technical Activities Board (TAB)"
"product liability","Defense, Computing & IT, Communications","Reliability (R)"
"product security","Retail, Retail","Technical Activities Board (TAB), Reliability (R)"
"productivity","Manufacturing & Devices","Technical Activities Board (TAB)"
"professional development","Education","Technical Activities Board (TAB)"
"prognostics","Transportation, Defense","Reliability (R)"
"Prognostics and Health Management (PHM)","Defense","Reliability (R)"
"Programming languages","Computing & IT","Technical Activities Board (TAB)"
"Project Management","Education, Transportation, Financial Services, Energy, Healthcare, Agriculture, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Defense, Environment, Retail, Computing & IT","Engineering Management (EM)"
"prosthetics","Healthcare","Technical Activities Board (TAB)"
"protection","Energy, Critical Infrastructure","Technical Activities Board (TAB)"
"Public","Healthcare","Technical Activities Board (TAB)"
"pulp and paper","Manufacturing & Devices","Technical Activities Board (TAB)"
"Purpose","Critical Infrastructure","Engineering Management (EM)"
"QoE","Communications","Communications (COMM)"
"QoS","Communications","Communications (COMM)"
"quality","Energy, Manufacturing & Devices","Technical Activities Board (TAB)"
"Quantum computing","Computing & IT, Computing & IT","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"Radiation","Defense","Technical Activities Board (TAB)"
"radio","Communications, Education, Entertainment","Electron Devices (ED), Technical Activities Board (TAB), Communications (COMM)"
"range finding","Defense","Lasers & Electro-Optics (LEOS)"
"rapid response","Critical Infrastructure","Technical Activities Board (TAB)"
"Real-time applications","Computing & IT","Technical Activities Board (TAB)"
"reconfiguration","Defense, Energy, Computing & IT, Communications","Reliability (R)"
"recovery","Defense, Critical Infrastructure, Computing & IT","Reliability (R), Technical Activities Board (TAB)"
"recyclable materials","Environment","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"refining","Manufacturing & Devices","Technical Activities Board (TAB)"
"regulation","Energy","Technical Activities Board (TAB)"
"regulatory approvals","Environment","Technical Activities Board (TAB)"
"rehabilitation engineering","Healthcare","Technical Activities Board (TAB)"
"Rehabilitation Medicine","Healthcare","Engineering in Medicine & Biology (EMB)"
"relay","Energy","Technical Activities Board (TAB)"
"reliability","Communications, Entertainment, Communications, Entertainment, Communications, Computing & IT, Environment, Computing & IT, Computing & IT, Financial Services, Financial Services, Healthcare, Healthcare, Healthcare, Manufacturing & Devices, Critical Infrastructure, Manufacturing & Devices, Manufacturing & Devices, Defense, Retail, Transportation, Education, Education, Transportation, Energy, Agriculture, Energy, Agriculture","Reliability (R), Engineering Management (EM), Technical Activities Board (TAB), Council on Electronic Design Automation (CEDA), Control Systems (CS)"
"reliability modeling","Defense","Reliability (R)"
"reliability prediction analysis","Defense","Reliability (R)"
"reliable power","Communications, Financial Services, Manufacturing & Devices, Defense, Critical Infrastructure, Retail","Power Electronics (PEL)"
"remote learning","Education","Technical Activities Board (TAB)"
"remote power","Agriculture, Critical Infrastructure, Environment","Power Electronics (PEL)"
"remote sensing","Healthcare","Technical Activities Board (TAB)"
"renewable","Energy","Technical Activities Board (TAB), Power Electronics (PEL)"
"repair","Communications","Reliability (R)"
"rescue systems","Critical Infrastructure","Technical Activities Board (TAB)"
"residential","Energy","Technical Activities Board (TAB)"
"resilience","Critical Infrastructure","Technical Activities Board (TAB)"
"resource prioritization","Critical Infrastructure","Technical Activities Board (TAB)"
"resources","Energy","Technical Activities Board (TAB)"
"response systems","Critical Infrastructure","Technical Activities Board (TAB)"
"retinal scanning","Healthcare","Lasers & Electro-Optics (LEOS)"
"returns","Manufacturing & Devices","Technical Activities Board (TAB)"
"reverberation","Environment","Oceanic Engineering (OE)"
"RF compatibility","Communications, Defense","Technical Activities Board (TAB), Electromagnetic Compatibility (EMC)"
"RFID","Retail, Communications, Healthcare, Retail, Retail, Communications","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC), Electron Devices (ED)"
"risk assessment","Financial Services, Transportation, Defense, Critical Infrastructure, Retail","Technical Activities Board (TAB), Reliability (R)"
"risk mitigation","Financial Services, Manufacturing & Devices, Transportation, Defense, Critical Infrastructure, Retail","Technical Activities Board (TAB), Reliability (R)"
"robotics","Manufacturing & Devices, Manufacturing & Devices","Technical Activities Board (TAB), Electron Devices (ED)"
"rov","Defense","Oceanic Engineering (OE)"
"rural healthcare","Healthcare","Technical Activities Board (TAB)"
"rural power","Agriculture","Power Electronics (PEL)"
"safe wkshp","Critical Infrastructure","Technical Activities Board (TAB)"
"safety","Energy, Transportation, Defense, Transportation","Electromagnetic Compatibility (EMC), Technical Activities Board (TAB)"
"safety critical","Energy, Defense, Critical Infrastructure","Computer (C), Electromagnetic Compatibility (EMC)"
"sanitation","Critical Infrastructure","Technical Activities Board (TAB)"
"satellite","Communications","Technical Activities Board (TAB)"
"satellite observation","Environment","Geoscience & Remote Sensing (GRS)"
"Satellite TV","Entertainment","Technical Activities Board (TAB)"
"SCADA","Manufacturing & Devices","Technical Activities Board (TAB)"
"scalability","Energy","Technical Activities Board (TAB)"
"scheduled maintenance","Manufacturing & Devices, Defense, Energy","Reliability (R)"
"Screening","Healthcare, Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"SDK","Communications","Communications (COMM)"
"Search","Computing & IT","Technical Activities Board (TAB)"
"Secondary","Education","Technical Activities Board (TAB)"
"Secure coding (counterfeiting avoidance)","Retail","Technical Activities Board (TAB)"
"Secure Communications","Education, Defense","Ultrasonics,Ferroelectrics & Frequency Control (UFFC), Communications (COMM), Technical Activities Board (TAB)"
"security","Energy, Computing & IT, Communications, Defense, Transportation","Technical Activities Board (TAB)"
"seismic","Energy","Technical Activities Board (TAB)"
"self aware systems","Healthcare, Critical Infrastructure, Education, Entertainment","Technical Activities Board (TAB)"
"self education","Education","Technical Activities Board (TAB)"
"self organization","Communications","Technical Activities Board (TAB)"
"self-aware systems","Communications","Technical Activities Board (TAB)"
"Semantic Web","Computing & IT","Technical Activities Board (TAB)"
"semiconductor","Energy","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"Sensing","Transportation, Healthcare, Defense, Manufacturing & Devices, Transportation","Technical Activities Board (TAB), Electron Devices (ED), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"sensor devices","Energy, Agriculture","Computer (C), Electron Devices (ED)"
"sensor networks","Manufacturing & Devices, Computing & IT, Defense, Critical Infrastructure, Communications, Computing & IT","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS), Reliability (R), Electron Devices (ED)"
"sensors and actuators","Defense, Energy, Environment, Healthcare, Environment, Communications, Manufacturing & Devices, Defense, Entertainment","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS), Ultrasonics,Ferroelectrics & Frequency Control (UFFC), Electron Devices (ED), Computer (C)"
"sensors for condition-based maintenance","Manufacturing & Devices, Manufacturing & Devices, Defense, Transportation, Manufacturing & Devices","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC), Reliability (R)"
"service life","Manufacturing & Devices, Agriculture, Transportation, Defense, Computing & IT, Retail, Communications","Reliability (R)"
"Service Management","Communications, Computing & IT","Computer (C), Communications (COMM)"
"Service Systems","Critical Infrastructure","Technical Activities Board (TAB)"
"set top box","Communications","Technical Activities Board (TAB)"
"severity of consequences","Defense, Energy","Reliability (R)"
"SGEMP","Defense","Electromagnetic Compatibility (EMC)"
"shapes checking","Manufacturing & Devices","Council on Electronic Design Automation (CEDA)"
"shelter","Critical Infrastructure","Technical Activities Board (TAB)"
"shielding","Energy","Technical Activities Board (TAB)"
"Shipborne Radar","Communications, Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"shipping","Transportation","Technical Activities Board (TAB)"
"signal processing","Computing & IT, Healthcare, Communications","Technical Activities Board (TAB)"
"Simulation","Computing & IT, Environment","Technical Activities Board (TAB)"
"Simulation Interoperability","Computing & IT","Computer (C)"
"situational awareness","Manufacturing & Devices, Defense, Critical Infrastructure, Healthcare, Retail, Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC), Reliability (R)"
"six sigma","Defense","Reliability (R)"
"smart grid","Energy","Technical Activities Board (TAB)"
"smart sensors","Manufacturing & Devices, Manufacturing & Devices, Healthcare, Computing & IT","Lasers & Electro-Optics (LEOS), Electron Devices (ED), Reliability (R), Technical Activities Board (TAB)"
"Smart Weapons","Defense","Technical Activities Board (TAB), Nuclear & Plasma Science (NPS)"
"social and ethical issues","Healthcare","Technical Activities Board (TAB)"
"Social computing","Computing & IT","Technical Activities Board (TAB)"
"sociological mobility aware networks","Communications","Communications (COMM)"
"software architecture","Computing & IT","Computer (C)"
"Software Engineering","Computing & IT, Computing & IT","Computer (C), Technical Activities Board (TAB)"
"software engineering curricula","Education","Technical Activities Board (TAB)"
"software life cycle","Computing & IT","Computer (C)"
"software process","Computing & IT","Computer (C)"
"software testing","Computing & IT","Computer (C)"
"solar","Energy, Manufacturing & Devices","Technical Activities Board (TAB)"
"solid state lighting","Transportation, Environment","Lasers & Electro-Optics (LEOS)"
"Sonar","Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Sonobuoys","Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"space commercialization","Transportation","Technical Activities Board (TAB)"
"Space Radar","Defense","Technical Activities Board (TAB)"
"Space Radiation","Defense","Technical Activities Board (TAB)"
"Spacecraft","Defense","Technical Activities Board (TAB)"
"spectral management","Communications","Technical Activities Board (TAB)"
"spectrum control","Defense","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Speech","Communications, Entertainment","Technical Activities Board (TAB)"
"Speech and Audio Processing","Computing & IT","Technical Activities Board (TAB)"
"speech privacy","Communications","Technical Activities Board (TAB)"
"speed of new technology","Healthcare","Technical Activities Board (TAB)"
"spread spectrum","Computing & IT, Communications","Electromagnetic Compatibility (EMC)"
"stability","Energy","Technical Activities Board (TAB)"
"standardization","Energy, Manufacturing & Devices","Technical Activities Board (TAB)"
"Standards","Energy, Computing & IT, Healthcare, Healthcare, Computing & IT","Computer (C), Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"state diagram","Computing & IT","Computer (C)"
"state machine","Computing & IT","Computer (C)"
"statistics","Environment","Technical Activities Board (TAB)"
"stator","Energy","Technical Activities Board (TAB)"
"storage","Energy","Technical Activities Board (TAB)"
"Storage Systems","Computing & IT","Computer (C)"
"Strategy","Manufacturing & Devices","Engineering Management (EM)"
"structural health monitoring","Critical Infrastructure","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Student evaluation","Education","Engineering Management (EM)"
"student outreach","Education","Technical Activities Board (TAB)"
"submarine","Energy","Technical Activities Board (TAB)"
"substations","Energy","Technical Activities Board (TAB)"
"Super computing","Computing & IT","Technical Activities Board (TAB)"
