Type,ID,Name,Description,URL,Tags,Society Abbreviations,Conference Year,Standard Status,Standard Technical Committees,Keywords,Priority,Completed,Project Code,PubID,Date
education,CD0007,Technical Presentations - Book 2: Structure - Anatomy of a Successful Presentation,"A technical expert must not only know, understand and interpret complex data but also present the facts through clear, concise and correct speech. The first step in conveying technical information is to establish a clear understanding of when, where, why, how, what and to whom your information is to be presented. The next step is to structure the presentation. The structure of a presentation includes the organization of ideas, the definition of major sections and the transitions between sections. A logical structure coupled with techniques to illustrate, emphasize and explain central themes will assist your audience to understand the core message.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7782&top.title=Technical+Presentations+-+Book+2%3A++Structure%3A++Anatomy+of+a+Successful+Presentation,"Computer applications| Information representation| Information technology| Communication| Computers and information| Communication effectiveness| Professional communication| Visual communication",IEEE-USA,,,,"IEEE-USA, career, communication, technical presentations, presentations, communication",yes,No,,,9/10/2011
education,GD0015,"U.S. Initiative to Promote Global Internet Freedom: Issues, Policy, and Technology",This report provides information regarding the role of U.S. and other foreign companies in facilitating Internet censorship by repressive regimes overseas. The report is divided into several sections: examination of repressive policies in China and Iran; relevant U.S. laws; U.S. policies to promote Internet freedom; private sector initiatives; and congressional action.,https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7799&top.title=US+Initiative+to+Promote+Global+Internet+Freedom+-+Issues%2C+Policy%2C+and+Technology-Sept+2010,"Government| Internet| Public policy| Technology| Legal factors| Legal aspects| International collaboration| International relations",IEEE-USA,,,,"IEEE-USA, global internet freedom, policy",yes,No,,,3/11/2011
education,GD0014,Foreign Science and Engineering Presence in U.S. Institutions and the Labor Force - March 2010,"This report explores the increased presence of foreign students in graduate science and engineering programs and in the scientific work force has been and continues to be of concern to some in the scientific community. Enrollment of U.S. citizens in graduate science and engineering programs has not kept pace with that of foreign students in those programs. In addition to the number of foreign students in graduate science and engineering programs, a significant number of university faculties in the scientific disciplines are foreign, and foreign doctorates are employed in large numbers by industry.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7798&top.title=Foreign+Science+and+Engineering+Presence+in+US+Institutions+and+the+Labor+Force-March+2010,"Workforce Committee| Industries| Science - general| Scientific publishing| Government| Engineering - general| International relations",IEEE-USA,,,,"IEEE-USA, intellectual property, policy",yes,No,,,3/11/2011
education,GD0013,The Role of Trade Secrets in Innovation - Aug 2010,"This report provides an overview of the law and policy of trade secrets. It discusses the role of trade secrets in U.S. innovation policy. It then reviews the sources of trade secret law and the substantive rules that they provide. The report also provides a more detailed review of existing federal legislation that pertains to trade secrets. In its next section, the report then discusses the relationship between patent law and trade secret law. The report closes with an identification of congressional issues and options within this field.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7797&top.title=The+Role+of+Trade+Secrets+in+Innovation+Policy,"Legal factors| Legal aspects| International relations| Public policy| Government| Technological innovation| Innovation management",IEEE-USA,,,,"IEEE-USA, trade secrets, intellectual property",yes,No,,,3/11/2011
education,GD0012,Industrial Competitiveness and Technological Advancement: Debate Over Government Policy - Feb 2010,"The proper role of the federal government in technology development and the competitiveness of U.S. industry continue to be a topic of congressional debate. Current legislation affecting the R&D environment has included both direct and indirect measures to facilitate technological innovation. As the 111th Congress develops its budget priorities, the manner by which the government encourages technological progress in the private sector again may be explored and/or redefined.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7796&top.title=Industrial+Competitiveness+and+Technological+Advancement+-+Debate+Over+Government+Policy+-+Feb+2010,"Technological innovation| Technology forecasting| Technology| Technology planning| Government| Public Policy| Legal factors| Legal aspects",IEEE-USA,,,,"IEEE-USA, industrial IEEE-USA, competitiveness, technology, innovation",yes,No,,,3/11/2011
education,GD0011,A Strategy for American Innovation - Feb 2011,"The United States' strategy for harnessing innovation to improve economic growth and prosperity, international competitiveness, health, and the quality of life.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7795&top.title=A+Strategy+for+American+Innovation,"Technological innovation| Economic forecasting| Economics| Health and safety| Government| Innovation management| United States activities",IEEE-USA,,,,"IEEE-USA, innovation",yes,No,,,3/11/2011
education,CD0024,Work Life Balance - Book 1,"Just what is work-life balance? Work-life balance is a state of control, achievement and satisfaction in your life. It means that you have a sense of being able to make choices that fit for you, given your current situation and your goals. It also means that you align your choices with those things that are important to you in life, so that you are able to enjoy a sense of satisfaction from the choices you have made. Work-life balance includes more than time. It includes feeling good about your level of involvement-- in both your work and non-work roles.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77122&top.title=Work+Life+Balance+-+Book+1,"Career development| Engineering - general| Data analysis| Data collection| Data communication",IEEE-USA,,,,"IEEE-USA, worklife balance, work life balance, work-life balance, career",yes,No,,,3/29/2012
education,CD0033,Starting Your Start-Up - Book 3: Competitive Analysis,"The third book in this series guides you through the competitive landscape, helping you to understand who your real competition is, and why it is important to see the landscape the way your customers do. This book also helps you develop an effective positioning strategy, determine the true value of your product or service to your target customer, and find ways to ensure your solution is the ideal one.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77150&top.title=Start+Your+Start-Up+-+Book+3+-+Competitive+Analysis,"Technological innovation| Business| New Business Development Committee| Product development| Innovation management| Marketing management| Market research| Market opportunities",IEEE-USA,,,,"IEEE-USA, career, entrepreneurs, start-up, competitive analysis",yes,No,,,12/17/2012
education,GD0029,PCAST - Future of the U.S. Research Enterprise - Nov. 2012,"This report addresses the two objectives of (1) enhancing long-range U.S. investment in basic and early-stage applied research and (2) reducing the barriers to the transformation of the results of that research into new products, industries, and jobs. Also in this report, PCAST describes a series of specific opportunities for the federal government, universities, and industry to strengthen the U.S. research enterprise. These opportunities fall into three categories: the Federal Government's role as the foundational investor in basic research; a better policy environment to encourage industry investment in R&D; and the new role of research universities as hubs of the innovation ecosystem.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77151&top.title=PCAST+-+Future+of+the+U.S.+Research+Enterprise,"Research initiatives| Research and development| Government| Technological innovation| Technology| Industries| Product design",IEEE-USA,,,,"IEEE-USA, research, R&D, policy",yes,No,,,11/1/2012
education,GD0030,"112th Congress Accomplishments - Committee on Science, Space and Technology - Dec. 2012","A report on the accomplishments of the Committee on Science, Space, and Technology in the 112th Congress. This Committee continued its longstanding tradition of working cooperatively to conduct diligent oversight of agencies and programs within its jurisdiction, holding 111 hearings and receiving testimony from 469 witnesses. Over the past two years, Committee efforts have focused on oversight of the Environmental Protection Agency’s endless attempts to develop complex and costly new regulations, and to stifle domestic fossil energy development. Cheap, clean, reliable and abundant energy is essential for economic recovery. By expanding access to federal lands for energy production, promoting smart investments in renewable and alternative fuels, and reducing the red tape and costly regulations that hamper our domestic small energy producers, we can create jobs and help America’s manufacturing sector.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77152&top.title=112th+Congress+Accomplishments+-+Committee+on+Science%2C+Space+and+Technology+-+Dec.+2012,"Energy| Energy capture| Energy conservation| Energy harvesting| Energy management| Energy measurement| Energy storage| Energy resources| Energy Policy Committee| Fossil fuels| Space technology| Biofuels| Renewable energy sources| Technology| Science - general",IEEE-USA,,,,"IEEE-USA, policy",yes,No,,,12/1/2012
education,CD0034,Shaping An Engineering Career - Book 1: Responding to Career Challenges - A Personal Journey,"The Shaping an Engineering Career Series of e-books describes the challenges that practitioners, academics and their managers, in the engineering and related disciplines, face in building their careers. This series will document the personal history of selected engineers and describe their journeys in transitioning from entry-level employees to either technology professionals or managers. The purpose of this series is to identify the different circumstances that technology professionals have encountered in building their careers, and it will provide some guidance to others about what is required to build a successful career in technology, or related disciplines.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77153&top.title=Shaping+An+Engineering+Career+-+Book+1%3A+Responding+to+Career+Challenges+-+A+Personal+Journey,"Career development| Career policy| Career Maintenance and Development Committee| Continuing professional development| Educational activities| Professional activities| Technology",IEEE-USA,,,,"IEEE-USA, career, work-life balance, communication",yes,No,,,1/28/2013
education,CD0035,Would Have Liked to Know That! Book 1: Selling Yourself at Work,"All too often, engineers believe that hard work will produce success in business and guarantee them a fulfilling career. Unfortunately, simply working hard is not enough to ensure one's career success. Young engineers miss opportunities to build a career with more possibilities and choices. Experienced engineers forget that they are responsible for managing their careers, and selling themselves at work. This e-book will focus on the strategies for engineers to build a successful career, by implementing some of the successful strategies that sales professionals use. Sales professionals are masters of communication skills. They work effectively with others to get the results they want.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77154&top.title=Would+Have+Liked+to+Know+That%21+Book+1%3A+Selling+Yourself+at+Work,"Career development| Career policy| Career Maintenance and Development Committee| Continuing professional development| Educational activities| Professional activities",IEEE-USA,,,,"IEEE-USA, career, communication, self-promotion, promoting",yes,No,,,2/26/2013
education,GD0031,Diminished Funding and Rising Expectations - Trends and Challenges for the Public Research Universities,"The Nation's public research universities play a vital role in preparing the next generation of innovators - educating and training a large number of science and engineering students at the undergraduate and graduate levels while maintaining relative affordability. These universities perform over half of all academic research and development, are contributors to state and local economies, and provide numerous public services. In the wake of increasing enrollment and costs and declining per student state appropriations, the National Science Board is concerned with the continued ability of these institutions to provide affordable, quality education and training to a broad range of students, conduct the basic science and engineering research that leads to innovations, and perform their public service missions.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77155&top.title=Diminished+Funding+and+Rising+Expectations+-+Trends+and+Challenges+for+the+Public+Research+Universit,"Research initiatives| Science - general| Research and development| Technology| Legal factors| Government",IEEE-USA,,,,"IEEE-USA, policy",yes,No,,,3/20/2013
education,CD0006,The Best of Today's Engineer: On Career Survival (Vol. 2),"Successful career management doesn’t happen just by luck. It calls for constantly monitoring your sense of success (Am I where I believe I should be in my career?) and your sense of fulfillment (Am I experiencing satisfaction from the work I do?). Career management is an on-going process; it calls for skills in job search techniques, knowing how to promote your value to your employer, and keeping up with your industry and profession, as these areas change and develop. This new collection of articles from Today’s Engineer will be useful to you, regardless of whether you are looking for a job, wondering if you are valued as much as you should be in your organization, or pondering the future of engineering as a vehicle for innovation and productivity.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7781&top.title=The+Best+of+Today%27s+Engineer%3A++On+Career+Survival+Volume+2,"Career development| Career policy| Career Maintenance and Development Committee| Continuing professional development| Educational activities| Professional activities| Technological innovation",IEEE-USA,,,,"IEEE-USA, Today's Engineer, career, career survival, career vitality",yes,No,,,8/30/2011
education,CD0005,Profile of IEEE Consultants: 2010,"IEEE-USA has conducted surveys focusing on the compensation of consultants in 2002, 2004, 2006, 2007, and 2009. Other than 2009, these were standalone surveys, and they were not a part of the overall Salary& Fringe Benefits Surveys.  In 2009, for the first time, the two survey efforts were combined. As a result, the sampling frame and qualifying definition of ""consultant"" were changed from previous implementations. And this year, the results were further filtered to those consultants who also indicated they were employed in their primary area of technical competence (PATC). Not only is the current definition different (consultants are now defined as primarily fee-based and self-employed full or part time and), but the PATC restriction does not apply this year either.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7780&top.title=2010+Profile+of+IEEE+Consultants,"Surveys Committee| Alliance of IEEE Consultants Networks Coordinating Committee| United States Activities Board| Data analysis| Data collection| Data communication| Engineering - general",IEEE-USA,,,,"IEEE-USA, career, consulting, fees",yes,No,,,8/31/2011
education,CP0002,IEEE-USA Salary & Fringe Benefits Survey - 2010 Edition,"The 2010 IEEE-USA Salary & Fringe Benefits Survey is the 23rd compensation study IEEE-USA has published. The aim of the project is to provide timely information on current and long-term trends related to the income, salary and benefits of IEEE members in the United States. This information is critical for accurate understanding of compensation practices in this profession, including how those practices impact individual engineers.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7778&top.title=2010+IEEE-USA+Salary+%26+Fringe+Benefits+Survey,"Engineering - general| Documentation| Science - general| Surveys Committee| IEEE activities| Data analysis| Data collection| Data communication",IEEE-USA,,,,"IEEE-USA, salary, benefits, career",yes,No,,,8/26/2011
education,GD0008,Spectrum Policy in the Age of Broadband: Issues for Congress -  June 2010,"Spectrum Policy in the Age of Broadband:  Issues for Congress (Congressional Research Service, June 2010) Noting that existing policies for allocating and assigning spectrum rights may not be sufficient to meet the future needs of wireless broadband, this report prepared for Congress highlights the important role of spectrum policy in driving competition and innovation, reviews the implications of the National Broadband Plan for current spectrum policy, and summarizes issues currently before Congress, such as proposals for a spectrum inventory and broadband spectrum issues related to needs of first responders.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7777&top.title=GOVDOC+--+Spectrum+Policy+in+the+Age+of+Broadband+Issues+for+Congress+-+July+2010,"Government| Public policy| Legal factors| Governmental factors| Ethical aspects| Law enforcement| Wireless communication| Wireless LAN| Wireless networks| Broadband communication",IEEE-USA,,,,"IEEE-USA, policy, spectrum policy, Congress",yes,No,,,7/10/2011
education,GD0007,Nanotechnology: A Policy Primer - June 2010,"A report prepared for Congress highlighting significant policy implications of nanoscale science, engineering and technology (i.e. nanotechnology), with a focus on federal research and development, U.S. competitiveness, and environment, health and safety concerns.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7776&top.title=GOVDOC+--+Nanotechnology-A-Policy-Primer-June+2010,"Government| Public policy| Legal factors| Governmental factors| Ethical aspects| Law enforcement| Nanotechnology| Technology| Engineering - general| Research and development| Nanoscale devices| Environment| Health and Safety Committee",IEEE-USA,,,,"IEEE-USA, nanotechnology, policy",yes,No,,,7/10/2011
education,CD0004,Survivor Planning - What Every Spouse Should Know - 2010 Update,"Updated for 2010, this e-book is a concise, step-by-step guide to compiling and organizing important personal information in advance of your or a family member's death, so that survivors can more easily handle necessary tasks following the loss of a loved one.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7775&top.title=Survivor+Planning%3A+What+Every+Spouse+Should+Know+--+2010+Update,"Death| Data analysis| Data collection| Data communication",IEEE-USA,,,,"IEEE-USA, financial planning, finance, estate planning",yes,No,,,7/10/2011
education,CD0003,Engineers Can Write!  Thoughts on Writing from Contemporary Literary Engineers,"Many engineers are excellent writers, adroit at taking on technology’s toughest challenges and using language to clearly and cogently describe what they have learned. Indeed, engineering’s history has been marked by important works written clearly and competently by engineers. In the following pages you will meet some engineers, engineers of every stripe, who are also award winning and much lauded writers of poems, short stories and novels. Each of these engineers has been successful in the world of literature, and their competence with language undermines any claims that engineers can’t write. They will explore the differences and similarities found within writing and engineering; offer some thoughts on how engineers can conceptualize their writing to improve their reports, articles, proposals and other documents; and, hopefully, show why engineers, one and all, should be able to write -- and write very well.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7779&top.title=Engineers+Can+Write+-+Thoughts+on+Writing+from+Contemporary+Literary+Engineers,"Writing| Training| Proposals| Professional communication| Communication effectiveness| Communication networks| Career development",IEEE-USA,,,,"IEEE-USA, career, communication",yes,No,,,7/10/2011
education,GD0006,Quadrennial Defense Review Report (February 2010),"The Quadrennial Defense Review (QDR) is a legislatively-mandated review of Department of Defense strategy and priorities, which assesses the threats and challenges that the nation faces and outlines DoD's strategies, capabilities, and forces to address today's conflicts and tomorrow's threats.  The review provides insights into DoD technology-related priority and plans.  The 2010 review puts special emphasis on cyber security and reform of U.S. technology export control laws.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7774&top.title=GOVDOC+--+2010+Quadrennial+Defense+Review+Report+-+February+2010,"US Department of Defense| Data analysis| Data collection| Data communication",IEEE-USA,,,,"IEEE-USA, defense, budget, policy",yes,No,,,7/10/2011
education,GD0005,Cyberspace Policy Review (May 2009),"The final report from a 60-day, comprehensive review of the plans, programs and activities underway throughout the federal government to address the security of the nation's communications and information infrastructure (i.e., cyberspace). The purpose of the review was to develop a strategic framework to ensure that federal initiatives in this area are integrated, resourced and coordinated appropriately, both within the Executive Branch and with Congress and the private sector.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7773&top.title=GOVDOC+--+Cyberspace+Policy+Review+--+May+2009,"Government| Public policy| Legal factors| Governmental factors| Cyberspace| Communication networks| Computer networks| Security",IEEE-USA,,,,"IEEE-USA, policy",yes,No,,,7/10/2011
education,CD0002,Technical Presentations - Book 1: Strategy Preparation and Planning,"Engineers and scientists are frequently required to present technical information to a broad spectrum of individuals, including co-workers, executives and potential clients in a variety of formats, such as conference papers, training materials and funding proposals. Even if you do not present conference papers or other formal presentations, you must present your ideas and opinions daily, in a clear and concise manner.  Without a strategy and appropriate preparation, a presentation will be unfocused, not apply, or fail completely.  Book 1 of this four-book series outlines a framework to help you prepare for your next presentation.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7764&top.title=Technical+Presentations%2C+Book+1%3A+Strategy%2C+Preparation+and+Planning,"Computer applications| Information representation| Information technology| Communication| Computers and information| Communication effectiveness| Professional communication| Visual communication",IEEE-USA,,,,"IEEE-USA, career, communication, technical presentations, presentations, communication",yes,No,,,5/10/2011
education,GD0004,Report to the President and Congress on the Third Assessment of the NNI  (12 March 2010),An assessment by the President's Council of Advisors and Technology of the National Nanotechnology Initiative (NNI) and its effectiveness over the past two years and since its inception.  NNI—which has provided $12 billion in investments by 25 Federal agencies over the past decade—has had a “catalytic and substantial impact” on the growth of the U.S. nanotechnology industry.,https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7766&top.title=Report+to+the+President+and+Congress+on+the+Third+Assessment+of+the+National+Nanotechnology+Initiati,"Government| Public policy| Legal factors| Governmental factors| Ethical aspects| Law enforcement| Nanotechnology| Technology| Engineering - general| Research and development| Nanoscale devices",IEEE-USA,,,,"IEEE-USA, nanotechnology, NNI, National Nanotechnology Initiative, policy",yes,No,,,5/10/2011
education,GD0003,National Patterns of R&D Resources: 2008 Data Update,"National Patterns of R&D Resources describes and analyzes the current patterns of research and development (R&D) in the United States (1953-2008), with comparison to the historical record and the reported R&D levels of other industrialized countries.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7765&top.title=National+Patterns+of+R%26D+Resources%3A++2008+Data+Update+%28March+2010%29,"Research initiatives| Research and development| Government| Technological innovation| Technology| Industries",IEEE-USA,,,,"IEEE-USA, policy, R&D, research",yes,No,,,5/10/2011
education,CD0001,Profile of IEEE Consultants: 2009,"As a consultant is preparing a proposal or negotiating a contract, one of the primary concerns is deciding how much to charge. To establish a fixed price or a fee that is both competitive and fair, the consultant needs to know what other consultants working in similar fields charge. In response to this need, the Alliance of IEEE Consultants Networks (AICN) conducts national fee surveys of its members. This report on the IEEE-USA 2009 Consultants Fee Survey provides the profile of typical self-employed and independent technical consultants, including their education, experience, business practices, median earnings and hourly fee.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7762&top.title=2009+Profile+of+IEEE+Consultants,"Surveys Committee| Alliance of IEEE Consultants Networks Coordinating Committee| United States Activities Board| Data analysis| Data collection| Data communication| Engineering - general",IEEE-USA,,,,"IEEE-USA, career, consulting, fees",yes,No,,,3/10/2011
education,CP0001,IEEE-USA Salary & Fringe Benefits Survey - 2009 Edition,"The 2009 IEEE-USA Salary & Fringe Benefits Survey is the 22nd compensation study IEEE-USA has published to provide timely information on current and long-term trends related to the income, salary and benefits of IEEE members in the United States. This information is critical for accurate understanding of compensation practices in this profession, including how those practices impact individual engineers.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7763&top.title=2009+IEEE-USA+Salary+%26+Fringe+Benefit+Survey,"Engineering - general| Documentation| Science - general| Surveys Committee| IEEE activities| Data analysis| Data collection| Data communication",IEEE-USA,,,,"IEEE-USA, salary, benefits, career",yes,No,,,3/10/2011
education,GD0001,National Science Board - Science and Engineering Indicators 2010,"Developed by the National Science Board and published January 2010, this 19th edition of Science and Engineering Indicators was designed to provide a broad base of quantitative information about U.S. science, engineering and technology for use by policymakers, researchers, and the general public.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7760&top.title=National+Science+Board%3A++Science+and+Engineering+Indicators+2010,"Engineering - general| Documentation| Science - general| Data analysis| Data collection| Data communication| USA Councils",IEEE-USA,,,,"IEEE-USA, science and engineering indicators, policy, workforce",yes,No,,,3/10/2011
education,GD0002,Report and Recommendations from the Scholarly Publishing Roundtable,"This is a report from the Committee on Science and Technology of the United States House of Representatives, in coordination with the White House Office of Science and Technology Policy, who convened a Scholarly Publishing Roundtable to examine the current state of scholarly publishing and develop consensus recommendations for expanding public access to the journal articles arising from research funded by agencies of the United States government.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7761&top.title=Report+and+Recommendations+from+the+Scholarly+Publishing+Roundtable,"Government| Science - general| Technology| Scientific publishing| Research initiatives| Data collection| Data communication",IEEE-USA,,,,"IEEE-USA, publishing technology, policy",yes,No,,,3/10/2011
education,UH3396,Doing Innovation: Creating Economic Value - Book 4: What It Takes to be an Innovator,"What it Takes to be an Innovator, the fourth and final e-book in the Innovation series focuses on the critical element in innovation, the Innovator. What an innovator brings to an organization, are they are and what characteristics and attitudes they display.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7759&top.title=Doing+Innovation%3A+Creating+Economic+Value+-+Book+4%3A+What+It+Takes+To+Be+an+Innovator,"Technological Innovation| Government Policies| History| Research and development| Innovation management| Organizational aspects| Organizations",IEEE-USA,,,,"IEEE-USA, innovation",yes,No,,,12/1/2009
education,UH3618,America’s Future Energy Jobs,"In this report, developed by the National Commission on Energy Policy’s Task Force on America’s Future Energy Jobs, makes a compelling case that our nation’s educational infrastructure must be improved and realigned to produce the next generation of professionals needed to orchestrate this critical transformation.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7758&top.title=GovDocs%3A+America%27s+Future+Energy+Jobs,"Renewable energy sources| Energy efficiency| Electricity supply industry| Power grids| Smart grids| Battery powered vehicles| Hybrid electric vehicles| Green design",IEEE-USA,,,,"IEEE-USA, GovDoc, policy, energy, employment, free",yes,No,,,11/1/2009
education,UH3395,Doing Innovation: Creating Economic Value - Book 3: Fostering an Innovation Culture,"Fostering an Innovation Culture, the third of four e-books written to provide the reader with an understanding of the fundamentals of converting ideas into innovations, provides the fundamentals for developing a culture that supports innovation.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7757&top.title=Doing+Innovation%3A+Creating+Economic+Value+-+Book+3%3A+Fostering+an+Innovation+Culture,"Company reports| Writing| Training| Proposals| Professional communication| Communication effectiveness| Communication networks| Career development",IEEE-USA,,,,"IEEE-USA, innovation",yes,No,,,11/1/2009
education,UH3394,Doing Innovation: Creating Economic Value - Book 2: Developing a Workable Innovation Process,The second e-book in the Doing Innovation: Creating Economic Value series focuses on the innovation process itself. It teaches the fundamentals related to the innovation process; presents various models with their limitations; describes the innovation design process; considers the issues in developing a process model; suggests a generic model and describes organizing for innovation.,https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7756&top.title=Doing+Innovation%3A+Creating+Economic+Value+-+Book+2%3A+Developing+a+Workable+Innovation+Process,"Career development| Career policy| Career Maintenance and Development Committee| Continuing professional development| Educational activities| Professional activities",IEEE-USA,,,,"IEEE-USA, innovation",yes,No,,,10/1/2009
education,UH3617,The President’s Office and Science and Technology Policy (OSTP): Issues for Congress - 3 June 2009,"A background report prepared by the Congressional Research Service for Congress, this report provides a brief history of the President's Office of Science and Technology Policy and its current role, before focusing on a series of issues and options regarding the future of OSTP and its relationship to Congress.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7755&top.title=GovDocs%3A+The+President%27s+Office+and+Science+and+Technology+Policy+%28OSTP%29%3A++Issues+for+Congress,"Government| Science - general| Technology| Scientific publishing| Research initiatives| Public policy",IEEE-USA,,,,"IEEE-USA, policy",yes,No,,,7/9/2009
education,UH3616,Science and Technology Policy-Making: A Primer - 27 May 2009,"Prepared by the Congressional Research Service as an introductory guide for Members of Congress and their staff, this report provides an overview of U.S. science and technology policy-making, describes the processes and key players that contribute to that policy, and concludes by highlighting the opportunities and challenges facing the current S&T policy decision-making process.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7754&top.title=GovDocs%3A+Science+and+Technology+Policy-Making%3A+A+Primer,"Government| Science - general| Technology| Scientific publishing| Research initiatives| Public policy",IEEE-USA,,,,"IEEE-USA, science and technology, policy",yes,No,,,7/9/2009
education,UH3615,Building A Sustainable Energy Future - Draft Report:  10 April 2009,"The draft report by the National Science Board (an arm of the National Science Foundation) offers key findings, recommendations to the U.S. Government, and guidance to the National Science Foundation (NSF) on how to transform the nation to a sustainable energy economy.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7753&top.title=GovDocs%3A+Building+a+Sustainable+Energy+Future,"Renewable energy sources| Energy efficiency| Electricity supply industry| Power grids| Smart grids| Battery powered vehicles| Hybrid electric vehicles| Green design| Government| Science - general",IEEE-USA,,,,"IEEE-USA, policy",yes,No,,,7/9/2009
education,UH3354,The Best of Backscatter from Today’s Engineer (Vol. 2),"In The Best of Backscatter from Today's Engineer, Vol. 2, compiled from the Today's Engineer archives, distinguished author, editor and engineer Donald Christiansen tackles topics such as engineering vs. marketing, the MBA degree, Internet search technology, and others with wit, wisdom and a unique perspective.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7752&top.title=The+Best+of+Backscatter+from+Today%27s+Engineer+Magazine%2C+Vol.+2,"Career development| Career policy| Professional activities| Engineering - general| Marketing management| Internet",IEEE-USA,,,,"IEEE-USA, Today's Engineer, Backscatter, career, policy",yes,No,,,7/9/2009
