"Name","Sectors","Filters","Related Tags"
"ECCM","Communications","",""
"ECG","Healthcare","",""
"ecoinformatics","Environment","",""
"economic impact","Communications","",""
"economics","Energy","",""
"education","Computing & IT, Energy","",""
"Education","Computing & IT","",""
"EEG","Healthcare","",""
"effcient displays","Environment","",""
"efficiency","Transportation, Energy","",""
"efficient and effective search","Computing & IT","",""
"efficient energy conversion","Energy","",""
"electric","Energy","",""
"electric bicycles","Transportation","",""
"electric locomotives","Environment","",""
"electric power steering","Transportation","",""
"electric scooter","Transportation","",""
"electric ship","Transportation","",""
"Electric Ship","Defense, Transportation","",""
"electric traction","Transportation, Defense, Environment","",""
"electric vehicles","Transportation, Environment","",""
"Electrical Insulating Materials","Defense, Communications, Critical Infrastructure, Transportation, Healthcare, Manufacturing & Devices, Energy","",""
"Electrical Insulating Systems","Healthcare","",""
"Electrical Insulation Systems","Defense, Critical Infrastructure, Transportation, Energy, Education, Manufacturing & Devices, Communications","",""
"electrical overstress","Energy","",""
"electrical safety and protection","Healthcare","",""
"Electrical Stress","Defense, Critical Infrastructure, Healthcare, Transportation, Energy, Environment, Communications, Manufacturing & Devices","",""
"electroacoustics","Computing & IT","",""
"Electrohydrodynamics","Environment","",""
"electromagnetic compatibility","Communications","",""
"Electromagnetic Environmental Effects","Defense","",""
"Electromagnetic Environmental Effects (EME)","Defense","",""
"electromagnetic imaging","Retail, Defense, Healthcare","",""
"electromagnetic interference","Retail, Communications","",""
"Electromagnetic Packaging","Defense","",""
"electromagnetic packaging","Retail, Communications, Manufacturing & Devices","",""
"Electromagnetic Pulse","Defense","",""
"Electromagnetic Survivability","Defense","",""
"electromagnetics","Education","",""
"Electromagntic Interference and Compatibility","Defense","",""
"electromechanical actuators","Transportation","",""
"electronic","Energy","",""
"Electronic Burnout","Defense","",""
"electronic information","Computing & IT","",""
"Electronic Medical Records","Healthcare","",""
"Electronic Medical Records Standards","Healthcare","",""
"Electronic Packaging","Energy, Entertainment","",""
"electronic packaging","Healthcare, Energy","",""
"Electronic Protect","Communications","",""
"electronic publishing","Computing & IT","",""
"electronic surgical instruments","Healthcare","",""
"electronic warfare","Defense","",""
"electronic waste","Communications","",""
"Electronics packaging","Computing & IT, Energy","",""
"electronics reliability in the body","Healthcare","",""
"electro-mechanical","Energy","",""
"EM Assessments","Critical Infrastructure","",""
"EM Mitigation","Critical Infrastructure","",""
"EM Protection","Critical Infrastructure","",""
"EM Shielding","Critical Infrastructure","",""
"EM Simulators","Critical Infrastructure","",""
"EM Terrorism","Critical Infrastructure","",""
"EM Weapons","Critical Infrastructure","",""
"Embedded Computing","Computing & IT, Defense","",""
"embedded intelligence","Manufacturing & Devices","",""
"embedded memory architectures","Manufacturing & Devices","",""
"embedded power","Defense, Computing & IT","",""
"Embedded Software","Computing & IT","",""
"Embedded Systems","Manufacturing & Devices, Critical Infrastructure, Agriculture, Healthcare, Retail, Computing & IT, Energy, Environment, Transportation, Defense, Entertainment, Financial Services, Education","",""
"EMC","Defense","",""
"emc","Energy","",""
"emergency lighting","Critical Infrastructure","",""
"emergency power","Critical Infrastructure","",""
"emergency preparedness","Critical Infrastructure","",""
"emergency response","Healthcare","",""
"emergency traffic administration","Transportation","",""
"Emerging Design Technologies","Computing & IT","",""
"emerging media","Computing & IT","",""
"emerging memory technologies","Manufacturing & Devices","",""
"EMI","Computing & IT","",""
"EMI Control","Defense","",""
"Emission","Defense","",""
"Emission Control (EMCON)","Defense","",""
"emissions","Communications, Energy, Transportation, Entertainment","",""
"EMP","Critical Infrastructure","",""
"EMP Hardening","Critical Infrastructure","",""
"EMV","Defense","",""
"end of life (EOL)","Defense","",""
"endurance","Communications, Defense, Agriculture, Computing & IT, Transportation, Energy","",""
"end_to_end QoS","Communications","",""
"energy","Critical Infrastructure","",""
"energy aware design","Environment","",""
"energy efficiency","Financial Services, Education, Environment","",""
"energy efficiency solutions","Manufacturing & Devices, Critical Infrastructure, Retail, Environment, Energy","",""
"energy flow simulation","Energy","",""
"Energy Harvesting","Critical Infrastructure, Energy, Defense","",""
"energy harvesting","Critical Infrastructure, Healthcare, Communications, Entertainment, Defense","",""
"energy packs","Entertainment","",""
"energy recovery techniques","Manufacturing & Devices","",""
"energy recuperator","Manufacturing & Devices","",""
"energy savings","Energy","",""
"energy storage","Healthcare, Critical Infrastructure, Defense, Energy, Transportation, Manufacturing & Devices, Communications","",""
"energy throughput","Manufacturing & Devices","",""
"energy-adaptive circuit techniques","Manufacturing & Devices","",""
"energy-aware design","Computing & IT, Energy","",""
"engine controls","Transportation","",""
"Enterprise Management","Communications","",""
"enterprise optimatization","Manufacturing & Devices","",""
"entity","Computing & IT","",""
"entity relationship attribute diagram","Computing & IT","",""
"Entrepreneurship","Financial Services, Healthcare, Computing & IT, Manufacturing & Devices, Retail, Agriculture, Critical Infrastructure, Energy, Education, Communications, Entertainment, Environment, Transportation, Defense","",""
"environmental","Energy","",""
"Environmental Acoustics","Energy, Defense","",""
"Environmental Assessment","Computing & IT","",""
"environmental monitoring and control","Transportation","",""
"environmental protection","Transportation","",""
"Environmental Sensors","Agriculture, Defense, Computing & IT, Environment","",""
"Environmental Stress","Defense, Critical Infrastructure, Healthcare, Transportation, Energy, Environment, Communications, Manufacturing & Devices","",""
"environmental stress screening","Manufacturing & Devices","",""
"Environment-friendly computing","Computing & IT","",""
"EPON","Communications","",""
"equalization","Communications","",""
"ergonomics","Agriculture, Communications, Computing & IT, Healthcare, Critical Infrastructure, Financial Services, Energy, Entertainment, Manufacturing & Devices, Retail, Defense, Transportation","",""
"error correction codes","Communications, Computing & IT","",""
"ESD","Critical Infrastructure","",""
"estimating","Computing & IT","",""
"estimation","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Environment, Entertainment, Communications, Transportation, Defense","",""
"Ethernet","Manufacturing & Devices, Communications","",""
"ethernet","Communications","",""
"Ethics","Education","",""
"Evaluating personnel","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Agriculture, Critical Infrastructure, Education, Environment, Entertainment, Communications, Transportation","",""
"evidence based medicine","Healthcare","",""
"evolutionary design","Transportation","",""
"Expense","Entertainment","",""
"exploration","Energy","",""
"E-Commerce","Computing & IT","",""
"E-learning","Computing & IT","",""
"e-waste","Computing & IT","",""
"face recognition","Computing & IT","",""
"factory automation","Manufacturing & Devices","",""
"FACTS devices","Energy","",""
"failure analysis","Manufacturing & Devices, Computing & IT, Defense","",""
"Failure Mechanisms","Transportation, Critical Infrastructure, Defense, Manufacturing & Devices, Energy","",""
"failure mode & effects baseline","Transportation, Manufacturing & Devices","",""
"failure modes","Defense","",""
"failure rate","Defense","",""
"failure reporting","Manufacturing & Devices","",""
"failures","Transportation, Energy","",""
"fail-safe systems","Transportation, Critical Infrastructure","",""
"fairness","Communications","",""
"fast algorithms","Defense","",""
"fast Fourier transform","Defense","",""
"fatigue","Agriculture, Defense","",""
"fault","Defense, Manufacturing & Devices, Transportation, Energy, Healthcare","",""
"fault accommodation","Defense","",""
"fault accomodation","Computing & IT, Energy, Healthcare, Manufacturing & Devices","",""
"fault detection","Communications, Defense","",""
"fault isolation","Defense","",""
"fault recovery","Defense","",""
"fault tolerance","Defense, Energy","",""
"Fault-tolerant computing","Computing & IT, Communications","",""
"FDDI","Manufacturing & Devices, Communications","",""
"FDTD","Manufacturing & Devices","",""
"FEM","Manufacturing & Devices","",""
"Femtocells","Communications","",""
"ferro-electric memory designs","Manufacturing & Devices","",""
"FFT","Defense","",""
"fiber channel","Manufacturing & Devices, Communications","",""
"fiber laser","Manufacturing & Devices","",""
"fiber optics","Communications, Energy, Manufacturing & Devices","",""
"fiber to the premises","Communications","",""
"fiber wireless integration","Communications","",""
"fiber-wireless","Communications","",""
"field failures","Transportation, Manufacturing & Devices","",""
"filter","Defense","",""
"filter design","Defense","",""
"filtering","Defense, Computing & IT","",""
"finance","Energy","",""
"financial resources","Manufacturing & Devices","",""
"financing","Healthcare","",""
"Finding opportunities","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Agriculture, Critical Infrastructure, Education, Environment, Entertainment, Communications, Transportation","",""
"Finding problems","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Agriculture, Critical Infrastructure, Education, Environment, Entertainment, Communications, Transportation","",""
"finite difference time domain","Manufacturing & Devices","",""
"finite element analysis","Manufacturing & Devices","",""
"firewire","Communications","",""
"first responders","Critical Infrastructure","",""
"Fixed Targets","Defense","",""
"flexible substrates","Manufacturing & Devices","",""
"Flight Safety","Defense","",""
"floating point","Communications","",""
"floorplanning","Defense","",""
"flow meters and flow controllers","Transportation","",""
"fly-by-wire","Defense","",""
"FMEA","Energy","",""
"FMECA","Energy","",""
"Focus","Financial Services, Healthcare, Computing & IT, Manufacturing & Devices, Retail, Agriculture, Critical Infrastructure, Energy, Education, Communications, Entertainment, Environment, Transportation, Defense","",""
"food","Healthcare","",""
"force sensors","Transportation","",""
"Forecasting","Retail","",""
"forecasting","Energy","",""
"forensics","Manufacturing & Devices, Healthcare, Communications, Energy, Computing & IT, Entertainment","",""
"formal methods","Defense, Manufacturing & Devices, Energy, Critical Infrastructure","",""
"fossil","Energy","",""
"Fourier transform","Defense","",""
"FPGA","Computing & IT","",""
"FRACAS","Manufacturing & Devices","",""
"frequency","Energy","",""
"frequency disputes","Communications","",""
"frequency generators","Manufacturing & Devices, Communications","",""
"frequency hopping","Communications","",""
"frequency scaling","Manufacturing & Devices","",""
"front-end circuits","Manufacturing & Devices, Communications","",""
"fuel cell converter","Energy","",""
"fuel cell converters","Critical Infrastructure","",""
"fuel cell vehicles","Transportation","",""
"Fuel Cells","Transportation","",""
"fuel injectors","Transportation","",""
"fuel_cells","Transportation, Energy","",""
"fuzzy control","Transportation","",""
"gaining commitment","Manufacturing & Devices","",""
"gait analysis","Computing & IT","",""
"Game Technology","Computing & IT","",""
"games","Entertainment","",""
"Gaming","Entertainment","",""
"gas","Energy","",""
"gas detection","Environment","",""
"Gaseous Dielectrics","Energy","",""
"GAVs","Defense","",""
"generation","Energy","",""
"generators","Energy","",""
"geophysical","Computing & IT","",""
"geophysics","Computing & IT","",""
"Gigabit Wireless Networks","Communications","",""
"GML","Computing & IT","",""
"golf carts","Transportation","",""
"government policy","Communications","",""
"GPON","Communications","",""
"GPS","Transportation, Defense","",""
"graphics processors","Manufacturing & Devices","",""
"graphics recognition","Computing & IT","",""
"green manufacturing","Environment","",""
"Green Radio","Communications","",""
"grid","Energy","",""
"grid-interactive hybrids","Transportation","",""
"Ground Fixed Radar","Defense, Communications","",""
"Ground Mapping","Defense","",""
"Ground Mobile Radar","Communications, Defense, Transportation","",""
"Ground Moving Indicator radar","Defense","",""
"GSM/EDGE/CDMA/UMTS/3G/4G base stations","Manufacturing & Devices, Communications","",""
"gyroscopes and microelectromechanical (MEMS) sensors","Transportation","",""
"handheld devices","Communications","",""
"Handheld Radar","Defense, Transportation","",""
"Handheld Television","Entertainment, Communications","",""
"Hands On","Education","",""
"handsets","Manufacturing & Devices, Communications","",""
"Haptics","Computing & IT","",""
"Haptics (wearable computing)","Computing & IT, Healthcare, Entertainment","",""
"Harbor Security","Computing & IT, Critical Infrastructure","",""
"Hardened Facilities","Defense","",""
"Hardening","Critical Infrastructure","",""
"Hardware design","Agriculture, Computing & IT","",""
"hardware emulation","Computing & IT","",""
"hardware in the loop","Energy","",""
"Hardware/software co-design","Manufacturing & Devices, Defense, Financial Services, Computing & IT, Retail, Energy, Entertainment, Communications, Transportation, Environment, Education, Critical Infrastructure, Healthcare","",""
"harmonics","Energy","",""
"harvesting","Energy","",""
"hazard","Entertainment, Communications, Manufacturing & Devices, Agriculture, Computing & IT, Healthcare","",""
"hazard analysis","Manufacturing & Devices, Healthcare, Communications, Entertainment, Retail, Defense","",""
"hazard anlysis","Energy, Manufacturing & Devices, Computing & IT","",""
"hazard severity","Defense, Energy","",""
"hazards","Communications, Manufacturing & Devices, Computing & IT, Retail, Energy, Healthcare","",""
"HCI","Entertainment, Computing & IT, Education","",""
"Health information systems","Healthcare, Computing & IT","",""
"health management","Healthcare, Defense","",""
"health toys","Healthcare","",""
"healthcare mgmt","Healthcare","",""
"healthcare systems effects","Healthcare","",""
"hearing impaired","Communications","",""
"HEDP","Defense","",""
"HEMP","Critical Infrastructure","",""
"HERF","Defense","",""
"HERO","Defense","",""
"HERP","Defense","",""
"high cycling","Manufacturing & Devices","",""
"high dose-rate radiation effects","Defense","",""
"high energy density capacitors","Transportation","",""
"High Energy Density Physics","Defense","",""
"High Performance Computing","Computing & IT","",""
"high performance design","Entertainment, Computing & IT, Defense","",""
"high resolution imaging","Healthcare, Defense","",""
"high throughput screening","Healthcare","",""
"high voltage","Computing & IT","",""
"high voltage dc","Energy","",""
"higher functionality implants","Healthcare","",""
"High-level Synthesis","Computing & IT","",""
"High-level Testing","Critical Infrastructure","",""
"high-speed low-power and low-voltage memory designs","Manufacturing & Devices","",""
"high-temperature semiconductors","Transportation","",""
"HIRF","Critical Infrastructure","",""
"history","Communications","",""
"History","Computing & IT","",""
"home networking","Communications","",""
"homeland security","Computing & IT, Critical Infrastructure","",""
"HPEM","Critical Infrastructure","",""
"HPM","Critical Infrastructure, Defense","",""
"HSE","Energy","",""
"human centered","Healthcare","",""
"human factors","Defense, Computing & IT","",""
"Human Machine interfaces","Communications","",""
"Human Resources","Defense","",""
"human resources needs","Manufacturing & Devices","",""
"Human-computer Interaction","Computing & IT","",""
"human-machine interaction","Energy, Manufacturing & Devices, Healthcare, Entertainment, Transportation, Critical Infrastructure","",""
"human-machine interface","Healthcare","",""
"human-machine interfaces","Education, Manufacturing & Devices, Transportation, Energy, Defense, Entertainment","",""
"human-robot interaction","Healthcare","",""
"humidity sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"hybrid","Transportation","",""
"hybrid blocks","Manufacturing & Devices, Communications","",""
"hybrid tanks","Defense","",""
"hybrid vehicles","Defense, Transportation, Environment, Energy","",""
"hydro","Energy","",""
"hydrodynamic","Energy","",""
"hydrogen storage","Energy","",""
"Hyperband","Critical Infrastructure","",""
"icaasp","Computing & IT","",""
"ICT","Computing & IT","",""
"IEMI","Critical Infrastructure","",""
"IEMI Detectors","Critical Infrastructure","",""
"IEMP","Critical Infrastructure","",""
"Image","Entertainment","",""
"image","Entertainment, Computing & IT","",""
"image multidimensional signal","Computing & IT","",""
"Image processing","Computing & IT","",""
"image processing","Computing & IT, Entertainment","",""
"image scanning","Computing & IT","",""
"Immersive Games","Entertainment","",""
"immunity","Entertainment, Transportation, Communications","",""
"implantable devices","Healthcare","",""
"implantable electromagnetic devices","Healthcare","",""
"implantable power","Healthcare","",""
"imprinting cables","Manufacturing & Devices","",""
"IMS","Communications","",""
"including integrated sensor-actuators","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"inclusion","Healthcare","",""
"indoor home network","Communications","",""
"induction","Energy","",""
"inductors","Manufacturing & Devices","",""
"industrial","Energy","",""
"industrial drives","Manufacturing & Devices","",""
"industrial process control","Manufacturing & Devices","",""
"informatics","Healthcare, Computing & IT","",""
"Information Assurance","Computing & IT","",""
"information design","Computing & IT","",""
"information development","Computing & IT","",""
"Information Forensics","Computing & IT, Defense","",""
"information forensics","Computing & IT, Critical Infrastructure","",""
"information management","Computing & IT","",""
"Information Retrieval","Computing & IT","",""
"Information Security","Defense","",""
"information security","Energy, Computing & IT, Communications, Critical Infrastructure","",""
"information services","Computing & IT","",""
"Information Technolocy","Computing & IT","",""
"Information Technology","Computing & IT","",""
"information theory","Computing & IT","",""
"infrared imaging","Defense","",""
"Infrastructure","Defense","",""
"infrastructure","Transportation, Energy","",""
"ink-jet printing","Manufacturing & Devices","",""
"Innovation","Retail, Financial Services, Entertainment, Computing & IT, Agriculture, Energy, Environment, Transportation, Defense, Healthcare, Communications, Critical Infrastructure, Manufacturing & Devices, Education","",""
"innovation. entrepreneurship","Manufacturing & Devices","",""
"installation","Energy","",""
"instrumentation amps","Manufacturing & Devices","",""
"instrumentation and test","Manufacturing & Devices, Healthcare","",""
"insulation","Energy","",""
"integrated circuits","Entertainment, Computing & IT","",""
"Integrated Circuits","Agriculture, Computing & IT, Manufacturing & Devices, Entertainment","",""
"Integrated optics/fiber optical devices such as those based on photometry- fluorimetry- surface plasmon resonance- interferometry- ellipsometry","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"integrated passive components","Manufacturing & Devices","",""
"integrated systems","Entertainment, Defense","",""
"Integrated Weapons & Communications","Defense","",""
"integration","Communications","",""
"Integration","Critical Infrastructure","",""
"integrity","Healthcare, Computing & IT, Defense","",""
"intelectual property","Computing & IT","",""
"Intelligent Agents","Computing & IT","",""
"intelligent infrastructure","Energy","",""
"intelligent sensing system","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"intelligent sensors for applications such as on-line monitoring - process control - test kits -RFID and other identification sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Intelligent Systems","Communications, Defense, Education, Computing & IT","",""
"intelligent systems","Healthcare, Communications","",""
"Intelligent systems","Education","",""
"Intentional EMI","Defense","",""
"interaction design","Computing & IT","",""
"interception","Communications","",""
"interconnect devices","Computing & IT","",""
"interface design","Computing & IT","",""
"interference","Communications","",""
"interleving","Computing & IT","",""
"international technical communication","Computing & IT","",""
"Internet","Education, Communications","",""
"Internet based and other remote data acquisition and control of sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Internet computing","Computing & IT","",""
"Internet Radio","Communications, Entertainment","",""
"Internet Video","Entertainment","",""
"interoperability","Critical Infrastructure, Communications","",""
"interoperable communications","Critical Infrastructure","",""
"Intra-System Compatibility","Defense","",""
"Intra-system compatibility","Communications","",""
"inventory control","Retail","",""
"inverters","Transportation, Energy","",""
"Ionizing radiation sensors such as gamma ray - X-ray - charged particle - neutron detectors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"IP Network","Education","",""
"IPTV","Communications","",""
"ISDN","Manufacturing & Devices, Communications","",""
"ISM band systems","Manufacturing & Devices, Communications","",""
"ITS","Transportation","",""
"I/O interfaces","Manufacturing & Devices","",""
"joint processing","Computing & IT","",""
"knowledge","Computing & IT","",""
"Knowledge Management","Computing & IT","",""
"knowledge management","Education, Computing & IT","",""
"K-line radiation","Defense","",""
"LADAR","Transportation","",""
"Ladar","Defense","",""
"ladar/lidar","Transportation","",""
"LAN","Manufacturing & Devices, Communications","",""
"language for special purposes","Computing & IT","",""
"Large scale problems","Computing & IT","",""
"large scale systems","Manufacturing & Devices, Communications","",""
"Laser Radar","Defense","",""
"Laser TV","Entertainment","",""
"laser welding","Manufacturing & Devices","",""
"lasers","Defense, Manufacturing & Devices, Healthcare","",""
"Lasers","Transportation","",""
"law enforcement","Communications","",""
"laws","Communications","",""
"LCD dispalys","Entertainment","",""
"lead-acid","Energy","",""
"lead-free piezoelectrics","Environment","",""
"Learning Technology","Computing & IT","",""
"LED lighting","Retail","",""
"led lighting","Retail, Entertainment","",""
"led projectors","Entertainment","",""
"LEDs","Transportation","",""
"legal framework","Communications","",""
"LEMP","Critical Infrastructure, Defense","",""
"liability","Manufacturing & Devices","",""
"Lidar","Defense","",""
"LIDAR","Transportation","",""
"Life cycle","Manufacturing & Devices","",""
"life limited items","Defense","",""
"Life Long Learning","Education","",""
"lifestyle","Communications","",""
"lifetime improvement","Manufacturing & Devices","",""
"light","Computing & IT","",""
"light rail transit","Transportation","",""
"light weight power packs","Defense","",""
"lighting control","Energy","",""
"lighting controls","Retail, Entertainment","",""
"lightning","Energy","",""
"Lightning","Critical Infrastructure, Defense","",""
"lightning protection","Energy","",""
"Lightweight Aircraft","Defense","",""
"light-emitting diodes","Transportation","",""
"limited life items","Transportation","",""
"line","Energy","",""
"linear","Energy","",""
"line-driver blocks","Manufacturing & Devices, Communications","",""
"Liquid Dielectrics","Energy","",""
"liquid-crystal displays","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Local Area Networks","Computing & IT","",""
"localization","Manufacturing & Devices, Computing & IT","",""
"location based service","Communications","",""
"Location Based Services","Transportation","",""
"locomotive drives","Transportation","",""
"Logic synthesis","Environment, Defense, Manufacturing & Devices, Critical Infrastructure, Retail, Healthcare, Transportation, Education, Computing & IT, Financial Services, Entertainment","",""
"logic upset","Defense","",""
"Logistics","Retail","",""
"logistics","Energy, Transportation","",""
"longer lifetime implants","Healthcare","",""
"low cost","Manufacturing & Devices","",""
"low cost diagnostics","Healthcare","",""
"low dose radiation effects","Defense","",""
"low power devices","Computing & IT, Defense","",""
"low voltage","Computing & IT","",""
"Low-Power","Healthcare","",""
"low-power circuit techniques","Manufacturing & Devices","",""
"low-power logic micro-architectures","Manufacturing & Devices","",""
"LTE","Communications","",""
"machine intelligence","Computing & IT","",""
"Machine Learning","Computing & IT","",""
"machine learning","Computing & IT","",""
"Machine Translation","Computing & IT","",""
"machines","Energy","",""
"MAGLEV","Transportation","",""
"magnet","Energy","",""
"magnetic","Computing & IT","",""
"magnetic fluids","Manufacturing & Devices","",""
"magnetic memory designs","Manufacturing & Devices","",""
"magnetic recording","Manufacturing & Devices","",""
"magnetic resonance","Computing & IT","",""
"magnetic resonance imaging","Healthcare","",""
"Magnetic sensors such as: magnetoresistors – Hall effect devices- magnetometers - magnetic-field sensors-  solid-state read and write heads","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Magnetic Source Imaging","Healthcare","",""
"magnetics","Manufacturing & Devices, Healthcare","",""
"Magnetocardiogram","Healthcare","",""
"Magnetocardiography","Healthcare","",""
"Magnetoencephalogram","Healthcare","",""
"Magnetoencephalography","Healthcare","",""
"magneto-optics","Manufacturing & Devices","",""
"maintainability","Education, Transportation, Defense, Manufacturing & Devices, Communications","",""
"Maintainability","Agriculture, Energy","",""
"maintenance","Transportation, Agriculture, Manufacturing & Devices, Energy","",""
"maintenance manhours per usage time","Defense","",""
"management","Energy","",""
"Management Capability","Manufacturing & Devices","",""
"management functions","Manufacturing & Devices","",""
"management recovery","Communications","",""
"Management Training","Education","",""
"Managing Competencies","Agriculture, Defense, Manufacturing & Devices, Energy, Financial Services, Retail, Environment, Entertainment, Communications, Transportation, Computing & IT, Education, Critical Infrastructure, Healthcare","",""
"Managing technology","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Agriculture, Critical Infrastructure, Education, Environment, Entertainment, Communications, Transportation","",""
"Manufacturability","Computing & IT","",""
"manufacturing","Energy","",""
"manufacturing standards","Manufacturing & Devices","",""
"Marine Electronics","Defense","",""
"market","Energy","",""
"Markets","Financial Services","",""
"mass","Computing & IT","",""
"Mass-sensitive devices such as quartz crystal microbalances and surface acoustic wave devices","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"materials","Energy","",""
"measurement","Manufacturing & Devices","",""
"Measurement","Healthcare","",""
"measurement theory","Agriculture, Computing & IT","",""
"measurement uncertainty","Agriculture, Computing & IT","",""
"measurements","Communications","",""
"measuring performance","Manufacturing & Devices, Computing & IT","",""
"mechanical","Computing & IT","",""
"Mechanical Stress","Defense, Critical Infrastructure, Healthcare, Transportation, Energy, Environment, Communications, Manufacturing & Devices","",""
"mechanical stress analysis","Transportation","",""
"medical","Transportation, Computing & IT","",""
"Medical data processing","Computing & IT","",""
"medical devices","Healthcare","",""
"medical diagnostics","Healthcare","",""
"medical image","Computing & IT","",""
"medical imaging","Healthcare","",""
"medical microwaves","Healthcare","",""
"MEG","Healthcare","",""
"memory","Computing & IT","",""
"memory architectures","Manufacturing & Devices","",""
"memory array organizations","Manufacturing & Devices","",""
"memory circuit-design techniques","Manufacturing & Devices","",""
"memory controllers","Manufacturing & Devices","",""
"memory testing and built-in self-test","Manufacturing & Devices","",""
"mems","Healthcare, Energy","",""
"Mentoring","Education","",""
"Mesoband","Critical Infrastructure","",""
"Meta search","Computing & IT","",""
"metallic sensors","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"metering","Energy","",""
"methods","Energy, Computing & IT","",""
"metrics","Communications","",""
"microarrays and lab-on-a-chip; sensors for medical applications; circuitry and MEMS technologies","Healthcare","",""
"microfluidics","Healthcare","",""
"microgrid converters","Energy","",""
"micromachines","Healthcare","",""
"Microprocessor","Computing & IT","",""
"microscopy","Computing & IT","",""
"microwave","Computing & IT","",""
"microwave imaging","Healthcare, Defense","",""
"microwave materials","Manufacturing & Devices","",""
"Microwave materials","Defense","",""
"microwaves","Computing & IT","",""
"Microwave/millimeter wave sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Military Computing","Defense","",""
"military sensor systems","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Military Vehicles","Defense","",""
"millimeter wave imaging","Healthcare, Defense","",""
"MIMO","Communications","",""
"miniaturized antennas","Energy","",""
"mining","Energy","",""
"mission critical","Critical Infrastructure","",""
"Mission Critical","Defense","",""
"Mission Planning","Defense","",""
"MMG","Healthcare","",""
"mobile communication","Education","",""
"Mobile Computing","Computing & IT","",""
"mobile phones","Agriculture","",""
"mobile power","Transportation, Defense","",""
"Mobile Radio","Communications","",""
"mobile sensor networks","Transportation, Communications","",""
"Mobile Television","Communications, Entertainment","",""
"modeling","Communications, Energy, Environment","",""
"Modeling languages","Computing & IT","",""
"model-based reasoning","Defense","",""
"molecular engines","Healthcare","",""
"MoM","Manufacturing & Devices","",""
"moment method","Manufacturing & Devices","",""
"monitoring","Entertainment, Defense, Healthcare, Agriculture, Financial Services, Environment, Computing & IT, Manufacturing & Devices","",""
"Mortgage","Financial Services","",""
"Motes","Communications","",""
"motor","Energy","",""
"motor drives","Defense","",""
"motors","Manufacturing & Devices","",""
"Moving Targets","Defense","",""
"MRAM","Manufacturing & Devices, Computing & IT, Defense","",""
"MRI","Healthcare","",""
"MSI","Healthcare","",""
"multi modality","Computing & IT","",""
"multiband antennas","Communications, Defense, Manufacturing & Devices","",""
"multibit-cell-based memory designs","Manufacturing & Devices","",""
"Multicore systems","Computing & IT, Entertainment","",""
"Multicultural","Education","",""
"Multifactor Stress","Transportation, Manufacturing & Devices, Healthcare, Critical Infrastructure, Communications, Energy, Defense, Environment","",""
"multifunction antennas","Communications","",""
"Multimedia","Entertainment, Computing & IT","",""
"multimedia","Computing & IT","",""
"multimedia over fiber","Communications","",""
"multimodal signals","Computing & IT","",""
"Multiple-sensor systems","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"multipliers","Manufacturing & Devices","",""
