Type,ID,Name,Description,URL,Tags,Societies,Year,Standard Status,Technical Committee,Keywords,Priority
Standard,802.1AE - 2006,Standard for Local and Metropolitan Area Networks: Media Access Control (MAC) Security,"The scope of this standard is to specify provision of connectionless user data confidentiality, frame data integrity, and data origin authenticity by media access independent protocols and entities that operate transparently to MAC Clients.",http://standards.ieee.org/cgi-bin/status?Designation: 802.1AE-2006,,C,,Published,LM,"authorized port, data origin authenticity, integrity/confidentiality, LANs, local area  networks, MAC Bridges, MAC security and tack, MAC Service, MANs, metropolitan area  networks, MSAP, port-based network access control, secure association, security, service access  point, transparent bridging              ",yes
Standard,802.16 - 2004,Standard for Local and metropolitan area networks -  Part 16: Air Interface for Fixed Broadband Wireless Access Systems,"This revised standard specifies the air interface, including the medium access control layer and multiple physical layer specifications, of fixed broadband wireless access systems supporting multiple services.  It consolidates IEEE Standards 802.16, 802.16a, and 802.16c, retaining all modes and major features without adding modes.  Content is added or revised  to improve performance, ease deployment, or replace incorrect, ambiguous, or incomplete material, including system profiles.",http://standards.ieee.org/cgi-bin/status?Designation: 802.16-2004,,C,,Published,LM,"fixed broadband wirelss access network, metropolitan area network, microwave, millimeter wave, WirelessMAN standards              ",yes
Standard,802.15.1 - 2005,IEEE Standard for Information Technology - telecommunications and information exchange Systems between systems - Local and metropolitan area networks-Specific requirements - Part 15.1a: Wireless Medium Access Control (MAC) and Physical Layer (PHY) specifications for Wireless Personal Area Networks (WPAN),"The scope of this project is limited to incorporating the changes between 802-15-1-2002 (Bluetooth specification 1.1) and Bluetooth Specification 1.2 into 802-15-1-2002. The scope of the original project was: To define PHY and MAC specifications for wireless connectivity with fixed, portable and moving devices within or entering a Personal Operating Space (POS). A goal of the WPAN Group will be to achieve a level of interoperability which could allow the transfer of data between a WPAN device and an 802.11 device.  A Personal Operating Space (POS) is the space about a person or object that typically extends up to 10 meters in all directions and envelops the person whether stationary or in motion. The proposed WPAN Standard will be developed to ensure coexistence with all 802.11 Networks.",http://standards.ieee.org/cgi-bin/status?Designation: 802.15.1-2005,,C,,Published,LM,"WPAN, Personal Area Network, Bluetooth, ISM, Communications protocol              ",yes
Standard,802.21 - 2008,IEEE Standard for Local and metropolitan area networks -- Part 21: Media Independent Handover Services,This standard defines extensible IEEE 802® media access independent mechanisms that enable the optimization of handover between heterogeneous IEEE 802 networks and facilitates handover between IEEE 802 networks and cellular networks.  ,http://standards.ieee.org/cgi-bin/status?Designation: 802.21-2008,,C,,Published,LM,"802.21-2008, management, media independent handover, mobile node, mobility, seamless, point of attachment, point of service              ",yes
Standard,802.15.3b - 2005,Standard for IEEE Amendment to Standard for Telecommunications and Information Exchange Between Systems – Local and Metropolitan Area Networks Specific Requirements – Part 15.3: Wireless Medium Access Control (MAC) and Physical Layer (PHY) Specifications  for High Rate Wireless Personal Area Networks (WPAN): Amendment to MAC Sublayer,"This amendment contains changes to the IEEE Std 802.15.3 required to improve implementation and interoperability. This will include minor optimizations while preserving backward compatibility. In addition, this amendment will correct errors, clarify ambiguities, and add editorial clarifications.",http://standards.ieee.org/cgi-bin/status?Designation: 802.15.3b-2005,,C,,Published,LM,"channel time reuse, handover, implied acknowledgment, multicast, wireless personal area network, WPAN              ",yes
Standard,802.15.4a - 2007,IEEE Standard for Information Technology - Telecommunications and Information Exchange Between Systems – Local and Metropolitan Area Networks - Specific Requirements – Part 15.4: Wireless Medium Access Control (MAC) and Physical Layer (PHY) Specifications for Low-Rate Wireless Personal Area Networks (WPANs): Amendment 1: Add Alternate PHYs,"Insert the following new paragraph at the end of 1.2:  In addition, alternative physical layers (PHYs) for data communication devices with precision ranging,  extended range, and enhanced robustness and mobility are specified.",http://standards.ieee.org/cgi-bin/status?Designation: 802.15.4a-2007,,C,,Published,LM,"ad hoc network, low data rate, low power, LR-WPAN, mobility, PAN, personal area  network, radio frequency, RF, short range, wireless, wireless personal area network, WPAN              ",yes
Standard,802.15.5 - 2009,Recommended Practice for Information Technology - Telecommunications and Information Exchange Between Systems - Local and Metropolitan Area Networks - Specific Requirements - Part 15.5: Mesh Topology Capability in Wireless Personal Area Networks (WPANs),"The scope is to provide a recommended practice to provide the architectural framework enabling WPAN devices to promote interoperable, stable, and scaleable wireless mesh topologies and, if needed, to provide the amendment text to the current WPAN standards that is required to implement this recommended practice.",http://standards.ieee.org/cgi-bin/status?Designation: 802.15.5-2009,,C,,Published,LM,              ,yes
Standard,1484.11.3 - 2005,IEEE Standard for Learning Technology Extensible Markup Language (XML) Schema Binding for Data Model for Content Object Communication,This Standard specifies a World Wide Web Consortium (W3C) Extensible Markup Language (XML)  Schema binding of the data model defined in IEEE Std 1484.11.1TM-2004.1 An implementation that  conforms to this Standard shall conform to IEEE Std 1484.11.1-2004.,http://standards.ieee.org/cgi-bin/status?Designation: 1484.11.3-2005,,C,,Published,LT,"content object, Content Object Communication Data Model, Extensible Markup Language (XML), IEEE Std 1484.11.1-2004, W3C XML Schema definition language, XML, XML binding, XML data instance, XML Schema definition              ",yes
Standard,1074 - 2006,IEEE Standard for Developing a Software Project Life Cycle Process,"This standard provides a process for creating a software project life cycle process (SPLCP). It is primarily directed at the process architect for a given software project. It is the function of the process architect to develop the SPLCP.  This methodology begins with the selection of an appropriate software project life cycle model (SPLCM)for use on the specific project. It continues through the definition of the software project life cycle (SPLC),using the selected SPLCM, the activities provided in Annex A, and the portion of the software life cycle that is relevant to the project. The methodology concludes with the augmentation of the software life cycle with organizational process assets (OPAs) to create the SPLCP.  The activities that are provided in Annex A cover the entire life cycle of a software system, from concept exploration through the eventual retirement of the software system. This standard does not address nonsoftware activities, such as contracting, purchasing, or hardware development. It also does not mandate the use of a specific SPLCM, nor does it provide a selection of, or a tutorial on, SPLCMs. This standard presumes that the process architect is already familiar with a variety of SPLCMs, with the criteria for choosing among them and with the criteria for determining the attributes and constraints of the desired end system and the development environment that affects this selection. Finally, this standard does not prescribe how to perform the software activities in Annex A.",http://standards.ieee.org/cgi-bin/status?Designation: 1074-2006,,C,,Published,S2ESC,"software project life cycle, software project life cycle model, software project life cycle process              ",yes
Standard,802.15.4 - 2006,IEEE Standard for Information Technology - Telecommunications and Information Exchange Between Systems - Local and Metropolitan Area Networks - Specific Requirements - Part 15.4: Wireless Medium Access Control (MAC) and Physical Layer (PHY) Specifications for Low Rate Wireless Personal Area Networks (WPANs),"The scope of this revision is to produce specific enhancements and corrections to IEEE Std 802.15.4, all of which will be backwards compatible with IEEE Std 802.15.4-2003. These enhancements and corrections include resolving ambiguities, reducing unnecessary complexity, increasing flexibility in security key usage, considerations for newly available frequency allocations, and others.   IEEE Std 802.15.4 defines the physical layer (PHY) and medium access control (MAC) sublayer  specifications for low-data-rate wireless connectivity with fixed, portable, and moving devices with no battery or very limited battery consumption requirements typically operating in the personal operating space (POS) of 10 m. It is foreseen that, depending on the application, a longer range at a lower data rate may be an acceptable tradeoff.  It is the intent of this revision to work toward a level of coexistence with other wireless devices in conjunction with Coexistence Task Groups, such as IEEE 802.15.2 and IEEE 802.11/ETSI-BRAN/MMAC  5GSG. ",http://standards.ieee.org/cgi-bin/status?Designation: 802.15.4-2006,,C,,Published,LM,"ad hoc network, low data rate, low power, LR-WPAN, mobility, PAN, personal area network, radio frequency, RF, short range, wireless, wireless personal area network, WPAN              ",yes
Standard,802.16/Conformance04 - 2006,IEEE Standard for Conformance to IEEE 802.16 - Part 4: Protocol Implementation Conformance Statement (PICS) Proforma for Frequencies below 11 GHz,"This standard represents the Protocol Implementation Conformance Statement (PICS) Proforma, per ISO/IEC Standard 9646-7 (1995) and ITU-T X.296, for conformance specification of base stations and subscriber stations based upon the air interface specified in IEEE P802.16-REVd for frequencies below 11 GHz.",http://standards.ieee.org/cgi-bin/status?Designation: 802.16/Conformance04-2006,,C,,Published,LM,"broadband wireless access (BWA), compliance test, fixed broadband wireless access networks, metropolitan area network, microwaves, point-to-multipoint, wireless access systems WAS), WirelessMAN® standards              ",yes
Standard,802.1ag - 2007,IEEE Standard for Local and Metropolitan Area Networks  Virtual Bridged Local Area Networks  Amendment 5: Connectivity Fault Management,"This standard specifies protocols, procedures, and managed objects to support transport fault management. These allow discovery and verification of the path, through bridges and LANs, taken for frames addressed to and from specified network users, detection, and isolation of a connectivity fault to a specific bridge or LAN.",http://standards.ieee.org/cgi-bin/status?Designation: 802.1ag-2007,,C,,Published,LM," fault management, LANs, local area networks, MAC Bridges, MANs, metropolitan area networks, OAM, transparent bridging, VLANs              ",yes
Standard,802.11 - 2007,IEEE Standard for Information Technology - Telecommunications and Information Exchange Between Systems - Local and Metropolitan Area Networks - Specific Requirements - Part 11: Wireless LAN Medium Access Control (MAC) and Physical Layer (PHY) Specifications,"The scope of this standard is to define one medium access control (MAC) and several physical layer (PHY) specifications for wireless connectivity for fixed, portable, and moving stations (STAs) within a local area.",http://standards.ieee.org/cgi-bin/status?Designation: 802.11-2007,,C,,Published,LM,"2.4 GHz, 4.9 GHz, 5 GHz, advanced encryption standard, AES, carrier sense multiple  access/collision avoidance, CCMP, Counter mode with Cipher-block chaining Message  authentication code Protocol, confidentiality, CSMA/CA, DFS, dynamic frequency selection,  international roaming, LAN, local area network, MAC, medium access controller, PHY, physical  layer, QoS, quality of service, radio frequency, RF, temporal key integrity protocol, TKIP, TPC,  transmit power control, wireless LAN, WLAN              ",yes
Standard,802.17a - 2004,IEEE Standard for Local and Metropolitan Area Networks: Media Access Control (MAC) Bridges - Amendment 1: Bridging of IEEE Std 802.17,"The scope of this project is limited to amending 802.1D:2004 to support  Bridging of 802.17 MACs. This involves: Adding one subclause to clause 6 of 802.1D describing the service interface mapping between the Internal Sublayer Service and the 802.17 MAC service; Minor changes elsewhere in the document as needed to accommodate support of the additional MAC, including priority mapping in Clause 7 and the PICS Proforma in Annex A.",http://standards.ieee.org/cgi-bin/status?Designation: 802.17a-2004,,C,,Published,LM,"bridging, IEEE 802.1D, IEEE 802.17, internal sublayer service, media access control bridges, resilient packet ring (RPR)              ",yes
Standard,8802-11:1999/Amd 4:2006,ISO/IEC 8802-11:1999/Amd 4:2006(E) [IEEE Std 802.11g-2003] Information technology—Telecommunications and information exchange between systems—Local and metropolitan area networks—Specific requirements—Part 11: Wireless LAN Medium Access Control (Mac) and Physical Layer (PHY) Specifications—Amendment 4: Further Higher Data Rate Extension in the 2.4 GHz Band,,http://standards.ieee.org/cgi-bin/status?Designation: 8802-11:1999/Amd 4:2006,,C,,Published,LM,"LAN, local area network, radio frequency, wireless  dedicated token ring  fill duplex operation  local area network (LAN)  medium access control (MAC)  100 Mbit/s operation  token ring""  ""        ",yes
Standard,8802-11:1999/Amd 5:2006,ISO/IEC 8802-11:1999/Amd 5:2006(E) [IEEE Std 802.11h-2003] Information technology—Telecommunications and information exchange between systems—Local and metropolitan area networks—Specific requirements—Part 11: Wireless LAN Medium Access Control (Mac) and Physical Layer (PHY) Specifications—Amendment 5: Spectrum and Transmit Power Management Extensions in the 5 GHz band in Europe,Defines mechanisms for dynamic frequency selection (DFS) and transmit power control (TPC) that  may be used to satisfy regulatory requirements for operation in the 5 GHz band in Europe. The  regulations and conformance tests are listed in Clause 2.,http://standards.ieee.org/cgi-bin/status?Designation: 8802-11:1999/Amd 5:2006,,C,,Published,LM,"dynamic frequency selection (DFS), local area network (LAN), transmit power control (TPC)  TKP Access Protocol  TXI Access Protocol  DTR C-Port and Station""  ""           ",yes
Standard,802.16f - 2005,IEEE Standard for Local and Metropolitan Area Networks - Part 16: Air Interface for Fixed Broadband Wireless Access Systems - Amendment 1: Management Information Base,This document provides enhancements to IEEE Std 802.16-2004 to define a management information base(MIB) for the MAC and PHY and associated management procedures.,http://standards.ieee.org/cgi-bin/status?Designation: 802.16f-2005,,C,,Published,LM,"fixed broadband wireless access network, management information base (MIB),  metropolitan area network(MAN), microwave, millimeter wave, WirelessMAN® standards  dedicated token ring  fibre optic media  full duplex operation  insertion key  LAN  MAC  token ring""  ""       ",yes
Standard,802.16g - 2007,IEEE Standard for Local and Metropolitan Area Networks - Part 16: Air Interface for Fixed and Mobile Broadband Wireless Access Systems - Amendment 3: Management Plane Procedures and Services,"This document provides enhancements to the MAC and PHY management entities of IEEE Standard 802.16-2004, as amended by P802.16e, to create standardized procedures and interfaces for the management of conformant 802.16 devices.",http://standards.ieee.org/cgi-bin/status?Designation: 802.16g-2007,,C,,Published,LM,"broadband wireless access, BWA, cellular layer, fixed broadband wireless access, MAN, management information base, MIB, microwave, mobile broadband wireless access, OFDM, OFDMA, radio, standard, WAS, wireless access systems, wireless metropolitan area network, WirelessMAN®              ",yes
Standard,1364 - 2005,IEEE Standard for Verilog Hardware Description Language,"Verilog is a hardware description language (HDL) that was standardized as IEEE Std 1364™-1995 and first revised as IEEE Std 1364-2001. This revision corrects and clarifies features ambiguously described in the 1995 and 2001 editions. It also resolves incompatibilities and inconsistencies of IEEE 1364-2001 with IEEE Std 1800™-2005.  The intent of this standard is to serve as a complete specification of the Verilog HDL. This standard contains the following:  — The formal syntax and semantics of all Verilog HDL constructs  — The formal syntax and semantics of standard delay format (SDF) constructs  — Simulation system tasks and functions, such as text output display commands  — Compiler directives, such as text substitution macros and simulation time scaling  — The programming language interface (PLI) binding mechanism  — The formal syntax and semantics of the Verilog procedural interface (VPI)  — Informative usage examples  — Informative delay model for SDF  — The VPI header file",http://standards.ieee.org/cgi-bin/status?Designation: 1364-2005,,C,,Published,DA,"computer, computer languages, digital systems, electronic systems, hardware, hardware description languages, hardware design, HDL, PLI, programming language interface, Verilog, Verilog HDL, Verilog P              ",yes
Standard,802.16-2004/Cor 1 - 2005,Standard for Corrigendum to IEEE Standard for Local and Metropolitan Area Networks - Part 16: Air Interface for Fixed Broadband Wireless Access Systems,"This corrigendum contains substantive corrections to IEEE Standard 802.16-2004. It corrects errors, inconsistencies, and ambiguities in that standard. It does not contain new material.",http://standards.ieee.org/cgi-bin/status?Designation: 802.16-2004/Cor 1-2005,,C,,Published,LM,              ,yes
Standard,802.16e - 2005,IEEE Standard for Local and Metropolitan Area Networks - Part 16: Air Interface for Fixed and Mobile Broadband Wireless Access Systems - Amendment for Physical and Medium Access Control Layers for Combined Fixed and Mobile Operation in Licensed Bands,"This document provides enhancements to IEEE Std 802.16-2004 to support subscriber stations moving at vehicular speeds and thereby specifies a system for combined fixed and mobile broadband wireless access. Functions to support higher layer handoff between base stations or sectors are specified. Operation is limited to licensed bands suitable for fixed/mobile use below 6 GHz. Fixed 802.16-2004 subscriber capabilities shall not be compromised. In addition to mobility enhancements, this document contains substantive corrections to IEEE 802.16-2004 regarding fixed operation.",http://standards.ieee.org/cgi-bin/status?Designation: 802.16e-2005,,C,,Published,LM,"fixed broadband wireless access network, metropolitan area network, microwave, mobile broadband wireless access network, WirelessMAN standards              ",yes
Standard,1076 - 2008,IEEE Standard VHDL Language Reference Manual ,"his standard revises and enhances the VHDL language reference manual (LRM) by including a standard C  language interface specification; specifications from previously separate, but related, standards  IEEE Std 1164 -1993,1 IEEE Std 1076.2 -1996, and IEEE Std 1076.3-1997; and  general language enhancements in the areas of design and verification of electronic systems.",http://standards.ieee.org/cgi-bin/status?Designation: 1076-2008,,C,,Published,DA,"1076-2008, computer languages, electronic systems, hardware, hardware design, VHDL              ",yes
Standard,1666 - 2005,IEEE Standard SystemC(R) Language Reference Manual,This standard defines SystemC®1 as an ANSI standard C++ class library for system and hardware design.,http://standards.ieee.org/cgi-bin/status?Designation: 1666-2005,,C,,Published,DA,"C++, computer languages, digital systems, discrete event simulation, electronic design automation, electronic system level, electronic systems, embedded software, fixed-point, hardware description language, hardware design, hardware verification, SystemC, system modeling, system-on-chip, transaction level              ",yes
Standard,1667 - 2006,Standard Protocol for Authentication in Host Attachments of Transient Storage Devices,"This project defines a standard protocol for secure authentication of dynamically attached devices, such as USB flash drives.    The protocol has only an indirect relationship with data integrity/security, and does not directly address that issue.    ",http://standards.ieee.org/cgi-bin/status?Designation: 1667-2006,,C,,Published,IA,"secure authentication, Transient Storage Device              ",yes
Standard,90003 - 2008,IEEE Guide--Adoption of ISO/IEC 90003:2004 Software Engineering--Guidelines for the Application of ISO 9001:2000 to Computer Software,"This International Standard provides guidance for organizations in the application of ISO 9001:2000 to the acquisition, supply, development, operation and maintenance of computer software and related support services. It does not add to or otherwise change the requirements of ISO 9001:2000.    Annex A (informative) provides a table pointing to additional guidance in the implementation of ISO 9001:2000 available in ISO/IEC JTC 1/SC 7 and ISO/TC 176 standards.    The guidelines provided in this International Standard are not intended to be used as assessment criteria in quality management system registration/certification.",http://standards.ieee.org/cgi-bin/status?Designation: 90003-2008,,C,,Published,S2ESC,"90003-2008, adoption, ISO/IEC, quality management, software development              ",yes
Standard,802.1ah - 2008,IEEE Standard for Local and metropolitan area networks -- Virtual Bridged Local Area Networks Amendment 7: Provider Backbone Bridges,"Insert the following text and bullets immediately after bullet z:    To allow scaling of Provider Networks to at least 224 Service Virtual LANs, this standard further specifies  the operation of Provider Backbone Bridges (PBBs) by means of an architecture and bridge protocols  compatible and interoperable with Provider Bridged Network protocols and equipment, allowing  interconnection of multiple Provider Bridged Networks. To this end, it    aa) Introduces Backbone Edge Bridges that, by exchanging backbone frames that encapsulate the  addresses, VLAN tags, and data of customer frames, support the virtual, media independent,  equivalent of a number of independent instances of the service provided by media dependent frame  transmission procedures.    ab) Extends the parameters of the Internal Sublayer Service (ISS) and Enhanced Internal Sublayer  Service (EISS) to include a connection identifier, capable of referencing the backbone addresses and  other parameters, used to convey customer frames from one Backbone Edge Bridge (BEB) to all, or  one of, the other BEBs supporting a particular backbone service instance.    ac) Specifies the format of the Backbone Service Instance tag (I-TAG) that encapsulates the customer  addresses, and introduces a Backbone Service Instance Identifier (I-SID) that allows each BEB to  support a number of backbone service instances and permits the unambiguous identification of up to  224 backbone service instances within a single Provider Backbone Bridged Network (PBBN).    ad) Provides a model of Backbone Edge Bridge operation in terms of VLAN-aware bridge components  that allows the use of Provider Bridges as Backbone Core Bridges, with PBBN traffic carried as  frames containing I-TAGs on particular Backbone VLANs (B-VLANs) potentially coexisting with  PBN traffic carried as frames without I-TAGs on other Backbone VLANs.    ae) Specifies the interfaces that a Provider Backbone Bridged Network can provide to transport service frames. These comprise a Port-based service interface that assigns all received untagged and  priority-tagged frames to a single S-VLAN transported over a single backbone service instance, an  S-tagged service interface capable of mapping individual S-VLANs to different backbone service  instances, and an I-tagged service interface capable of mapping frames from one set of backbone  service instances to another.    af) Describes the use of redundant bridges and access LANs to protect backbone service access against failure of any of those systems or components.    ag) Specifies the management of Backbone Edge Bridges in terms of the model of operation [item ad)  above], making use of defined management objects for the individual VLAN-aware bridge  components, and adding managed objects to facilitate service creation.    ah) Describes the use of connectivity fault management (CFM) to detect and isolate faults in the  connectivity provided to individual S-VLANs across the PBBN, in the connectivity provided to the  group of S-VLANs supported by a single backbone service instance (identified by an I-SID), and in  the connectivity provided to individual B-VLANs within the backbone itself.    ai) Specifies extensions to the Multiple Spanning Tree Protocol (MSTP) to allow network  administrators to protect against loops through peered PBBNs without requiring coupling of  spanning trees that operate independently for each PBBN.",http://standards.ieee.org/cgi-bin/status?Designation: 802.1ah-2008,,C,,Published,LM,"802.1ah-2008, Bridged Local Area Networks, LANs, local area networks, MAC Bridges, MANs, metropolitan area networks, MRP, MSTP, Multiple Registration Protocol, Multiple Spanning Tree Protocol, Multiple VLAN Registration Protocol, MVRP, Provider Bridged Local Area Networks, Virtual Bridged Local Area Networks, virtual LANs              ",yes
Standard,802.1ak - 2007,IEEE Standard for Local and Metropolitan Area Networks – Virtual Bridged Local Area Networks - Amendment 07: Multiple Registration Protocol,"In addition, this standard specifies protocols, procedures, and managed objects to support the Multiple Registration Protocol (MRP). MRP allows participants in an MRP Application to register attributes with other participants in a Bridged Local Area Network. Two applications are defined—one to register VLANs [Multiple VLAN Registration Protocol (MVRP)] and one to register MAC addresses [Multiple MAC Registration Protocol (MMRP)]. MVRP will furthermore provide for the rapid healing of network failures without interrupting services to unaffected VLANs. To this end, it specifies the following:  a) MRP and the operation of the MRP protocol entities.1, 2  b) The generic frame formats used in MRP protocol exchanges.  c) The Multiple MAC Registration Protocol (MMRP) application of MRP, and the frame formats that it  uses.  d) The Multiple VLAN Registration Protocol (MVRP) application of MRP, and the frame formats that  it uses.",http://standards.ieee.org/cgi-bin/status?Designation: 802.1ak-2007,,C,,Published,LM,"Bridged Local Area Networks, LANs, local area networks, MAC Bridges, metropolitan area networks, MRP, MMRP, MVRP, Virtual Bridged Local Area Networks, virtual LANs Inter-Access Point Protocol Internet Protocol IP IEEE 802.11 IEEE Std802.11-1999 ISO/IEC 8802-11:1999""  ""        ",yes
Standard,1484.12.3 - 2005,IEEE Standard for Extensible Markup Language (XML) Schema Definition Language Binding for Learning Object Metadata,"ORIGINAL Scope:    This Standard specifies an eXtensible Markup Language (XML) binding of the learning object metadata (LOM) data model defined in IEEE 1484.12.1–2002 Standard for Learning Object Metadata. An implementation that conforms with this Standard shall conform to IEEE 1484.12.1–2002.    ==============================================    REVISED Scope:    This Standard defines World Wide Web Consortium (W3C) Extensible Markup Language (XML) structure and constraints on the contents of XML 1.1 documents that can be used to represent learning object metadata (LOM) instances as defined in IEEE 1484.12.1–2002, Standard for Learning Object Metadata. This Standard defines the structure and constraints of the XML 1.1 documents in W3C XML Schema definition language. An implementation that conforms to this Standard shall conform to IEEE 1484.12.1–2002.",http://standards.ieee.org/cgi-bin/status?Designation: 1484.12.3-2005,,C,,Published,LT,"1484.12.1–2002, Extensible Markup Language, learning object metadata, LOM, LOM XML instance, LOM XML Schema binding, metadata, W3C XML Schema definition language, XML, XML Schema definition, XSD  collaborative  collocated  interference  mechanisms  non-collaborative WLAN  WPAN""  ""       ",yes
Standard,829 - 2008,IEEE Standard for Software and System Test Documentation,"This standard applies to all software-based systems. It applies to systems and software being developed, acquired, operated, maintained, and/or reused [e.g., legacy, modified, Commercial-Off-the-Shelf (COTS), Government-Off-the-Shelf (GOTS), or Non-Developmental Items (NDIs)]. When conducting the test process, it is important to examine the software in its interactions with the other parts of the system. This standard identifies the system considerations that test processes and tasks address in determining system and software correctness and other attributes (e.g., completeness, accuracy, consistency, and testability), and the applicable resultant test documentation.",http://standards.ieee.org/cgi-bin/status?Designation: 829-2008,,C,,Published,S2ESC,"829-2008, integrity level, life cycle, test documentation, testing              ",yes
Standard,ISO/IEC 23026:2006(E) - 2006,"Software Engineering---Recommended Practice for the Internet---Web Site Engineering, Web Site Management, and Web Site Life Cycle","This document defines recommended practices for World Wide Web page engineering for Intranet and Extranet environments, based on World Wide Web Consortium (W3C®) and related industry guidelines. This recommended practice does not address stylistic considerations or human-factors considerations in Web page design beyond limitations that reflect good engineering practice. Annex B contains topics which are not sufficiently mature or where there are not specific recommendations for inclusion in the current issue of this recommended practice.",http://standards.ieee.org/cgi-bin/status?Designation: ISO/IEC 23026:2006(E)-2006,,C,,Published,S2ESC,"Extranet, Internet, Intranet, Web page, Web site, Web site engineering Web site life cycle, Web site management, well-engineered Web page, World Wide Web              ",yes
Standard,1680 - 2006,"IEEE Standard for Environmental Assessment of Personal Computer Products, including Laptop Personal Computers, Desktop Personal Computers, and Personal Computer Monitors","This Standard defines environmental performance standards for personal computer products, including  desktop computers, notebook computers, and computer monitors that are marketed to institutions, and  includes key concepts and implementation procedures relating to reduction or elimination of environmentally sensitive materials, materials selection, design for end of life, life cycle extension, energy conservation, end of life management, corporate performance and packaging.",http://standards.ieee.org/cgi-bin/status?Designation: 1680-2006,,C,,Published,EASC,"computer, computer monitor, electronic product, electronic product design, environment, environmental leadership, environmental performance, notebook computer, personal computer              ",yes
Standard,802.1ap - 2008,Standard for Local and Metropolitan Area Networks: Virtual Bridged Local Area Networks - Amendment 9: Management Information Base (MIB) Definitions for VLAN Bridges,This standard defines SMIv2 (IETF STD 58) MIB modules for the management of VLAN-aware Bridge capabilities including Spanning Tree Protocols and Provider Bridges.,http://standards.ieee.org/cgi-bin/status?Designation: 802.1ap-2008,,C,,Published,LM,              ,yes
Standard,1620.1 - 2006,Standard for Test Methods for the Characterization of Organic Transistor-Based Ring Oscillators,This is a full-use standard that specifies methods for the characterization of organic transistor-based ring oscillators. The  methods are applicable to all ring oscillators fabricated from organic semiconductor materials and are independent of the fabrication process.,http://standards.ieee.org/cgi-bin/status?Designation: 1620.1-2006,,C,,Published,MSC,"electrical characterization, high-impedance printing, organic transistor, printed  electronics, ring oscillator conductor combination connection connection thermal capacity controlconductor current loop cycle equalizer grid system permanent connection""  ""      ",yes
Standard,802.11y - 2008,IEEE Standard for Information Technology — Telecommunications and Information Exchange Between Systems — Local and Metropolitan Area Networks — Specific Requirements - Part 11: Wireless LAN Medium Access Control (MAC) and Physical Layer (PHY) Specifications   Amendment 3: 3650–3700 MHz Operation in USA,,http://standards.ieee.org/cgi-bin/status?Designation: 802.11y-2008,,C,,Published,LM,"802.11y-2008, 3650 MHz, wireless local area network, WLAN              ",yes
Standard,802.16k - 2007,IEEE Standard for Local and Metropolitan Area Networks: Media Access Control (MAC) Bridges - Amendment 2: Bridging of IEEE 802.16,"The scope of this project is limited to amending 802.1D to support Bridging of the IEEE 802.16 MAC. This involves: (a) Adding one subclause to Clause 6 of 802.1D describing the service interface mapping between the Internal Sublayer Service and  the 802.16 MAC service; (b) minor changes elsewhere in the document as needed to accommodate support of the additional MAC, including priority mapping in Clause 7 and the PICS Proforma in Annex A.",http://standards.ieee.org/cgi-bin/status?Designation: 802.16k-2007,,C,,Published,LM,"local area networks, LANs, MAC Bridges, transparent bridging, VLANs, wireless  metropolitan area networks, WMAN              ",yes
Standard,802.11k - 2008,IEEE Standard for Information technology --  Telecommunications and information exchange between systems --  Local and metropolitan area networks --  Specific requirements  Part 11: Wireless LAN Medium Access Control (MAC)and Physical Layer (PHY) Specifications  Amendment 1: Radio Resource Measurement of Wireless LANs,,http://standards.ieee.org/cgi-bin/status?Designation: 802.11k-2008,,C,,Published,LM,"802.11k-2008, local area network (LAN), measurement, network management, radio, radio resource              ",yes
Standard,802.11r - 2008,IEEE Standard for Information technology - Telecommunications and information exchange between systems - Local and metropolitan area networks - Specific requirements  Part 11: Wireless LAN Medium Access Control (MAC) and Physical Layer (PHY) Specifications Amendment 2: Fast Basic Service Set (BSS) Transition,,http://standards.ieee.org/cgi-bin/status?Designation: 802.11r-2008,,C,,Published,LM,"802.11r-2008, LAN, local area network, wireless LAN, WLAN              ",yes
Standard,1620 - 2008,IEEE Standard for Test Methods for the Characterization of Organic Transistors and Materials,"This standard describes a method for characterizing organic electronic devices, including measurement techniques, methods of reporting data, and the testing conditions during characterization.",http://standards.ieee.org/cgi-bin/status?Designation: 1620-2008,,C,,Published,MSC,"1620-2008, electrical characterization, FET, flexible electronics, high impedance, nanocomposite,  nanotechnology, OFET, organic electronics, organic transistor, printed electronics, printing,  transistor              ",yes
Standard,1647 - 2008,IEEE Standard for the Functional Verification Language e,The scope of this standard is the definition of the e functional verification language. This standard aims to serve as an authoritative source for the definition of:  a) syntax and semantics of e language constructs  b) the e language interaction with standard simulation languages  c) e language libraries  This revision extends the standard to cover novel verification-related features.,http://standards.ieee.org/cgi-bin/status?Designation: 1647-2008,,C,,Published,DA,              ,yes
